continent,country,year,pop,lifeExp,gdpPercap
Lowest Crime,UTTARAKHAND,2009,9791271.4,78.024,12.0617635009
Lowest Crime,UTTARAKHAND,2010,9954011.7,78.827,10.7393886226
Lowest Crime,UTTARAKHAND,2011,10116752,79.63,9.7857494184
Lowest Crime,UTTARAKHAND,2012,10279492.3,80.433,10.2631527824
Lowest Crime,UTTARAKHAND,2013,10442232.6,81.236,16.3375023843
Low Crime,UTTARAKHAND,2014,10604972.9,82.039,11.6077618642
Lowest Crime,UTTARAKHAND,2015,10767713.2,82.842,13.1132764569
Lowest Crime,HARYANA,2001,21144564,67.9,15.9473612225
Lowest Crime,HARYANA,2002,21565415.7,68.774,20.1711854782
Low Crime,HARYANA,2003,21986267.4,69.648,18.6934868262
Low Crime,HARYANA,2004,22407119.1,70.522,18.7797457639
Low Crime,HARYANA,2005,22827970.8,71.396,17.8246241668
Low Crime,HARYANA,2006,23248822.5,72.27,19.463351316
Low Crime,HARYANA,2007,23669674.2,73.144,19.2186844718
Low Crime,HARYANA,2008,24090525.9,74.018,20.9708996017
Low Crime,HARYANA,2009,24511377.6,74.892,21.2799137002
Low Crime,HARYANA,2010,24932229.3,75.766,22.0357350877
Low Crime,HARYANA,2011,25353081,76.64,21.3977938224
Low Crime,HARYANA,2012,25773932.7,77.514,22.9767031245
Lowest Crime,HARYANA,2013,26194784.4,78.388,34.4076128376
Lowest Crime,HARYANA,2014,26615636.1,79.262,32.525993245
Low Crime,HARYANA,2015,27036487.8,80.136,33.8431532516
Low Crime,DELHI,2001,13850507,81.7,15.7972556528
Low Crime,DELHI,2002,14140779.8,82.164,15.1335359879
Low Crime,DELHI,2003,14431052.6,82.628,22.3268536905
Low Crime,DELHI,2004,14721325.4,83.092,24.0671264559
Low Crime,DELHI,2005,15011598.2,83.556,27.9117515948
Low Crime,DELHI,2006,15301871,84.02,28.8592159743
Low Crime,DELHI,2007,15592143.8,84.484,30.3037225709
Low Crime,DELHI,2008,15882416.6,84.948,24.2973100202
Low Crime,DELHI,2009,16172689.4,85.412,26.0810054263
Slightly High Crime,DELHI,2010,16462962.2,85.876,27.1822284813
Hightest Crime,DELHI,2011,16753235,86.34,30.9969984901
Hightest Crime,DELHI,2012,17043507.8,86.804,34.7346336768
Low Crime,DELHI,2013,17333780.6,87.268,74.1500097215
Low Crime,DELHI,2014,17624053.4,87.732,85.8996489423
Low Crime,DELHI,2015,17914326.2,88.196,94.9072815253
Low Crime,RAJASTHAN,2001,56507188,60.4,21.3371084755
Lowest Crime,RAJASTHAN,2002,57718570.4,61.066,20.6761877803
Low Crime,RAJASTHAN,2003,58929952.8,61.732,19.8048690784
Low Crime,RAJASTHAN,2004,60141335.2,62.398,21.5259604014
Low Crime,RAJASTHAN,2005,61352717.6,63.064,18.6316115197
Low Crime,RAJASTHAN,2006,62564100,63.73,20.2768041097
Low Crime,RAJASTHAN,2007,63775482.4,64.396,22.0241376018
Low Crime,RAJASTHAN,2008,64986864.8,65.062,22.018295611
Low Crime,RAJASTHAN,2009,66198247.2,65.728,25.8994772901
Low Crime,RAJASTHAN,2010,67409629.6,66.394,26.7276353644
Lowest Crime,RAJASTHAN,2011,68621012,67.06,28.7098651358
Lowest Crime,RAJASTHAN,2012,69832394.4,67.726,29.9373953587
Lowest Crime,RAJASTHAN,2013,71043776.8,68.392,39.0379020503
Lowest Crime,RAJASTHAN,2014,72255159.2,69.058,42.2253584904
Lowest Crime,RAJASTHAN,2015,73466541.6,69.724,37.4034212058
Lowest Crime,UTTAR PRADESH,2001,166197921,56.3,11.9484045772
Lowest Crime,UTTAR PRADESH,2002,169536276.6,57.642,9.0346445653
Lowest Crime,UTTAR PRADESH,2003,172874632.2,58.984,7.1878677871
Lowest Crime,UTTAR PRADESH,2004,176212987.8,60.326,8.4919960707
Lowest Crime,UTTAR PRADESH,2005,179551343.4,61.668,7.9409041058
Lowest Crime,UTTAR PRADESH,2006,182889699,63.01,8.5718332338
Lowest Crime,UTTAR PRADESH,2007,186228054.6,64.352,10.8152340652
Lowest Crime,UTTAR PRADESH,2008,189566410.2,65.694,12.2321248662
Lowest Crime,UTTAR PRADESH,2009,192904765.8,67.036,11.8923966989
Lowest Crime,UTTAR PRADESH,2010,196243121.4,68.378,10.2067271745
Lowest Crime,UTTAR PRADESH,2011,199581477,69.72,11.2575577342
Lowest Crime,UTTAR PRADESH,2012,202919832.6,71.062,11.3507879959
Lowest Crime,UTTAR PRADESH,2013,206258188.2,72.404,15.1417018992
Lowest Crime,UTTAR PRADESH,2014,209596543.8,73.746,17.0169790748
Lowest Crime,UTTAR PRADESH,2015,212934899.4,75.088,15.0520182884
Lowest Crime,BIHAR,2001,82998509,47,5.408530893
Lowest Crime,BIHAR,2002,85079121.8,48.682,5.821639781
Lowest Crime,BIHAR,2003,87159734.6,50.364,5.9477005337
Lowest Crime,BIHAR,2004,89240347.4,52.046,7.6725384868
Lowest Crime,BIHAR,2005,91320960.2,53.728,5.6963921411
Lowest Crime,BIHAR,2006,93401573,55.41,6.2290171494
Lowest Crime,BIHAR,2007,95482185.8,57.092,6.8525871556
Lowest Crime,BIHAR,2008,97562798.6,58.774,7.5182345169
Lowest Crime,BIHAR,2009,99643411.4,60.456,7.537879218
Lowest Crime,BIHAR,2010,101724024.2,62.138,7.3237370018
Lowest Crime,BIHAR,2011,103804637,63.82,8.4919135164
Lowest Crime,BIHAR,2012,105885249.8,65.502,9.2893014075
Lowest Crime,BIHAR,2013,107965862.6,67.184,10.7923001951
Lowest Crime,BIHAR,2014,110046475.4,68.866,11.4069986834
Lowest Crime,BIHAR,2015,112127088.2,70.548,10.2018166918
Lowest Crime,SIKKIM,2001,540851,68.8,4.4374513498
Lowest Crime,SIKKIM,2002,547534.7,70.14,5.1138311417
Lowest Crime,SIKKIM,2003,554218.4,71.48,6.4956342121
Lowest Crime,SIKKIM,2004,560902.1,72.82,8.5576431252
Lowest Crime,SIKKIM,2005,567585.8,74.16,10.9234586207
Lowest Crime,SIKKIM,2006,574269.5,75.5,8.1843106764
Lowest Crime,SIKKIM,2007,580953.2,76.84,9.1229379578
Lowest Crime,SIKKIM,2008,587636.9,78.18,8.1683093761
Lowest Crime,SIKKIM,2009,594320.6,79.52,6.7303741449
Lowest Crime,SIKKIM,2010,601004.3,80.86,6.4891382641
Lowest Crime,SIKKIM,2011,607688,82.2,8.8861389397
Lowest Crime,SIKKIM,2012,614371.7,83.54,11.0682181487
Lowest Crime,SIKKIM,2013,621055.4,84.88,14.9745095204
Lowest Crime,SIKKIM,2014,627739.1,86.22,16.0894868585
Lowest Crime,SIKKIM,2015,634422.8,87.56,8.1964267362
Lowest Crime,ARUNACHAL PRADESH,2001,1097968,54.3,16.3939204057
Lowest Crime,ARUNACHAL PRADESH,2002,1126432.3,55.565,14.1153622814
Lowest Crime,ARUNACHAL PRADESH,2003,1154896.6,56.83,12.0357095172
Lowest Crime,ARUNACHAL PRADESH,2004,1183360.9,58.095,12.5067508991
Lowest Crime,ARUNACHAL PRADESH,2005,1211825.2,59.36,12.378022837
Lowest Crime,ARUNACHAL PRADESH,2006,1240289.5,60.625,13.5452247237
Lowest Crime,ARUNACHAL PRADESH,2007,1268753.8,61.89,14.5812371163
Low Crime,ARUNACHAL PRADESH,2008,1297218.1,63.155,13.4904068946
Low Crime,ARUNACHAL PRADESH,2009,1325682.4,64.42,12.3709871987
Low Crime,ARUNACHAL PRADESH,2010,1354146.7,65.685,14.0309761121
Lowest Crime,ARUNACHAL PRADESH,2011,1382611,66.95,12.3679039151
Lowest Crime,ARUNACHAL PRADESH,2012,1411075.3,68.215,14.1735880431
Lowest Crime,ARUNACHAL PRADESH,2013,1439539.6,69.48,19.8674631806
Lowest Crime,ARUNACHAL PRADESH,2014,1468003.9,70.745,23.2288211223
Lowest Crime,ARUNACHAL PRADESH,2015,1496468.2,72.01,24.591234214
Lowest Crime,NAGALAND,2001,1990036,66.6,1.4572600697
Lowest Crime,NAGALAND,2002,1989092.6,67.951,1.1060319665
Lowest Crime,NAGALAND,2003,1988149.2,69.302,1.2071528636
Lowest Crime,NAGALAND,2004,1987205.8,70.653,1.3083697723
Lowest Crime,NAGALAND,2005,1986262.4,72.004,1.6614119061
Lowest Crime,NAGALAND,2006,1985319,73.355,1.7125711284
Lowest Crime,NAGALAND,2007,1984375.6,74.706,1.4110231954
Lowest Crime,NAGALAND,2008,1983432.2,76.057,2.3192121213
Lowest Crime,NAGALAND,2009,1982488.8,77.408,2.168990816
Lowest Crime,NAGALAND,2010,1981545.4,78.759,1.9681608102
Lowest Crime,NAGALAND,2011,1980602,80.11,1.8176291855
Lowest Crime,NAGALAND,2012,1979658.6,81.461,2.3741467342
Lowest Crime,NAGALAND,2013,1978715.2,82.812,3.3354977007
Lowest Crime,NAGALAND,2014,1977771.8,84.163,3.1854028862
Lowest Crime,NAGALAND,2015,1976828.4,85.514,4.3504028979
Lowest Crime,MANIPUR,2001,2166788,70.5,4.9843362618
Lowest Crime,MANIPUR,2002,2222284.8,71.435,7.3797921851
Lowest Crime,MANIPUR,2003,2277781.6,72.37,6.0146240535
Lowest Crime,MANIPUR,2004,2333278.4,73.305,5.7429923493
Lowest Crime,MANIPUR,2005,2388775.2,74.24,5.8188815758
Lowest Crime,MANIPUR,2006,2444272,75.175,6.9959480778
Lowest Crime,MANIPUR,2007,2499768.8,76.11,7.5206955139
Lowest Crime,MANIPUR,2008,2555265.6,77.045,8.2574586376
Lowest Crime,MANIPUR,2009,2610762.4,77.98,7.4307796068
Lowest Crime,MANIPUR,2010,2666259.2,78.915,7.1260888664
Lowest Crime,MANIPUR,2011,2721756,79.85,9.0750236245
Lowest Crime,MANIPUR,2012,2777252.8,80.785,10.4059666444
Lowest Crime,MANIPUR,2013,2832749.6,81.72,10.0608963108
Lowest Crime,MANIPUR,2014,2888246.4,82.655,11.6333564893
Lowest Crime,MANIPUR,2015,2943743.2,83.59,9.002143937
Lowest Crime,MIZORAM,2001,888573,88.8,13.9549592436
Lowest Crime,MIZORAM,2002,908817.1,89.078,16.9451036958
Lowest Crime,MIZORAM,2003,929061.2,89.356,15.8224237542
Lowest Crime,MIZORAM,2004,949305.3,89.634,9.0592562793
Lowest Crime,MIZORAM,2005,969549.4,89.912,9.6952254315
Lowest Crime,MIZORAM,2006,989793.5,90.19,12.6288968356
Lowest Crime,MIZORAM,2007,1010037.6,90.468,14.9499384973
Lowest Crime,MIZORAM,2008,1030281.7,90.746,15.6267941088
Low Crime,MIZORAM,2009,1050525.8,91.024,14.1833736972
Lowest Crime,MIZORAM,2010,1070769.9,91.302,15.8764268588
Lowest Crime,MIZORAM,2011,1091014,91.58,14.5735985056
Lowest Crime,MIZORAM,2012,1111258.1,91.858,17.9076309995
Lowest Crime,MIZORAM,2013,1131502.2,92.136,15.642921419
Low Crime,MIZORAM,2014,1151746.3,92.414,22.3139418811
Low Crime,MIZORAM,2015,1171990.4,92.692,12.9693895104
Low Crime,TRIPURA,2001,3199203,73.2,13.6909098922
Low Crime,TRIPURA,2002,3246385.9,74.655,16.5106680632
Low Crime,TRIPURA,2003,3293568.8,76.11,16.3045022773
Low Crime,TRIPURA,2004,3340751.7,77.565,20.0553665811
Lowest Crime,TRIPURA,2005,3387934.6,79.02,24.7938670363
Lowest Crime,TRIPURA,2006,3435117.5,80.475,28.0630866339
Lowest Crime,TRIPURA,2007,3482300.4,81.93,30.6406650041
Lowest Crime,TRIPURA,2008,3529483.3,83.385,40.0908540919
Lowest Crime,TRIPURA,2009,3576666.2,84.84,42.3578806432
Lowest Crime,TRIPURA,2010,3623849.1,86.295,46.2491663905
Lowest Crime,TRIPURA,2011,3671032,87.75,36.9378420019
Lowest Crime,TRIPURA,2012,3718214.9,89.205,41.9287223017
Lowest Crime,TRIPURA,2013,3765397.8,90.66,43.2092460457
Lowest Crime,TRIPURA,2014,3812580.7,92.115,41.4155167916
Lowest Crime,TRIPURA,2015,3859763.6,93.57,31.6081534113
Lowest Crime,MEGHALAYA,2001,2318822,62.6,2.8462728058
Lowest Crime,MEGHALAYA,2002,2383340.5,63.888,2.9790120212
Lowest Crime,MEGHALAYA,2003,2447859,65.176,2.7779377816
Lowest Crime,MEGHALAYA,2004,2512377.5,66.464,4.4977317302
Lowest Crime,MEGHALAYA,2005,2576896,67.752,5.0448291278
Lowest Crime,MEGHALAYA,2006,2641414.5,69.04,6.6252381063
Lowest Crime,MEGHALAYA,2007,2705933,70.328,6.3194469338
Low Crime,MEGHALAYA,2008,2770451.5,71.616,7.3995159273
Low Crime,MEGHALAYA,2009,2834970,72.904,8.3246030822
Low Crime,MEGHALAYA,2010,2899488.5,74.192,8.8981211686
Low Crime,MEGHALAYA,2011,2964007,75.48,9.0080758919
Low Crime,MEGHALAYA,2012,3028525.5,76.768,8.1888034293
Low Crime,MEGHALAYA,2013,3093044,78.056,10.9600768693
Low Crime,MEGHALAYA,2014,3157562.5,79.344,11.337859504
Low Crime,MEGHALAYA,2015,3222081,80.632,9.6521471682
Slightly High Crime,ASSAM,2001,26655528,63.3,15.1863433356
Slightly High Crime,ASSAM,2002,27106902.4,64.288,18.4491755133
Lowest Crime,ASSAM,2003,27558276.8,65.276,18.8618469788
Lowest Crime,ASSAM,2004,28009651.2,66.264,20.1216357882
Lowest Crime,ASSAM,2005,28461025.6,67.252,20.8003748115
Lowest Crime,ASSAM,2006,28912400,68.24,23.315255738
Lowest Crime,ASSAM,2007,29363774.4,69.228,23.181624771
Lowest Crime,ASSAM,2008,29815148.8,70.216,27.10702554
Lowest Crime,ASSAM,2009,30266523.2,71.204,31.8635871596
Low Crime,ASSAM,2010,30717897.6,72.192,37.4146699415
Low Crime,ASSAM,2011,31169272,73.18,36.7733965683
Low Crime,ASSAM,2012,31620646.4,74.168,42.5987496574
Low Crime,ASSAM,2013,32072020.8,75.156,54.2217158951
Low Crime,ASSAM,2014,32523395.2,76.144,57.773796015
Low Crime,ASSAM,2015,32974769.6,77.132,68.5888037259
Low Crime,WEST BENGAL,2001,80176197,68.6,8.1483036667
Lowest Crime,WEST BENGAL,2002,81293350.9,69.448,8.3573870738
Lowest Crime,WEST BENGAL,2003,82410504.8,70.296,10.1176421868
Lowest Crime,WEST BENGAL,2004,83527658.7,71.144,13.0076673632
Lowest Crime,WEST BENGAL,2005,84644812.6,71.992,13.9335177641
Lowest Crime,WEST BENGAL,2006,85761966.5,72.84,14.796768915
Lowest Crime,WEST BENGAL,2007,86879120.4,73.688,18.9136353181
Lowest Crime,WEST BENGAL,2008,87996274.3,74.536,23.6134997365
Lowest Crime,WEST BENGAL,2009,89113428.2,75.384,26.0297471083
Lowest Crime,WEST BENGAL,2010,90230582.1,76.232,28.8305798262
Lowest Crime,WEST BENGAL,2011,91347736,77.08,31.6581464044
Lowest Crime,WEST BENGAL,2012,92464889.9,77.928,33.0774200165
Lowest Crime,WEST BENGAL,2013,93582043.8,78.776,31.6417539066
Lowest Crime,WEST BENGAL,2014,94699197.7,79.624,42.0045797283
Lowest Crime,WEST BENGAL,2015,95816351.6,80.472,32.6937933629
Lowest Crime,JHARKHAND,2001,26945829,53.6,6.8693377368
Lowest Crime,JHARKHAND,2002,27547869.9,55.003,8.3055423461
Lowest Crime,JHARKHAND,2003,28149910.8,56.406,7.8899006671
Lowest Crime,JHARKHAND,2004,28751951.7,57.809,7.957720658
Lowest Crime,JHARKHAND,2005,29353992.6,59.212,7.5492285843
Lowest Crime,JHARKHAND,2006,29956033.5,60.615,8.749489481
Lowest Crime,JHARKHAND,2007,30558074.4,62.018,9.3265038978
Lowest Crime,JHARKHAND,2008,31160115.3,63.421,8.7932922379
Lowest Crime,JHARKHAND,2009,31762156.2,64.824,8.2047326497
Lowest Crime,JHARKHAND,2010,32364197.1,66.227,8.2313180573
Lowest Crime,JHARKHAND,2011,32966238,67.63,8.2356985956
Low Crime,JHARKHAND,2012,33568278.9,69.033,10.3013920085
Low Crime,JHARKHAND,2013,34170319.8,70.436,14.8228053751
Low Crime,JHARKHAND,2014,34772360.7,71.839,12.0986896354
Low Crime,JHARKHAND,2015,35374401.6,73.242,13.4504042042
Low Crime,ODISHA,2001,36804660,53.6,13.3053803513
Low Crime,ODISHA,2002,37321615.8,55.585,11.6045350855
Lowest Crime,ODISHA,2003,37838571.6,57.57,11.9534110532
Lowest Crime,ODISHA,2004,38355527.4,59.555,12.2146671356
Lowest Crime,ODISHA,2005,38872483.2,61.54,14.8511222458
Lowest Crime,ODISHA,2006,39389439,63.525,13.6762546935
Lowest Crime,ODISHA,2007,39906394.8,65.51,14.5440349325
Lowest Crime,ODISHA,2008,40423350.6,67.495,17.2128235209
Lowest Crime,ODISHA,2009,40940306.4,69.48,17.4913199966
Lowest Crime,ODISHA,2010,41457262.2,71.465,18.1729318344
Lowest Crime,ODISHA,2011,41974218,73.45,19.8860166972
Lowest Crime,ODISHA,2012,42491173.8,75.435,24.6545319019
Lowest Crime,ODISHA,2013,43008129.6,77.42,28.2039700699
Low Crime,ODISHA,2014,43525085.4,79.405,31.9149287643
Low Crime,ODISHA,2015,44042041.2,81.39,35.8066964435
Low Crime,CHHATTISGARH,2001,20833803,64.7,19.0267710605
Low Crime,CHHATTISGARH,2002,21304442.3,65.334,16.4942125709
Low Crime,CHHATTISGARH,2003,21775081.6,65.968,15.2146387364
Low Crime,CHHATTISGARH,2004,22245720.9,66.602,16.8436888013
Low Crime,CHHATTISGARH,2005,22716360.2,67.236,15.7947838844
Low Crime,CHHATTISGARH,2006,23186999.5,67.87,16.1081644048
Low Crime,CHHATTISGARH,2007,23657638.8,68.504,15.8384360826
Low Crime,CHHATTISGARH,2008,24128278.1,69.138,16.3418209275
Low Crime,CHHATTISGARH,2009,24598917.4,69.772,16.1633129432
Low Crime,CHHATTISGARH,2010,25069556.7,70.406,16.5818648082
Low Crime,CHHATTISGARH,2011,25540196,71.04,16.3898507278
Low Crime,CHHATTISGARH,2012,26010835.3,71.674,16.1778733803
Low Crime,CHHATTISGARH,2013,26481474.6,72.308,26.4071397293
Low Crime,CHHATTISGARH,2014,26952113.9,72.942,22.7143593364
Low Crime,CHHATTISGARH,2015,27422753.2,73.576,20.2167884441
Low Crime,MADHYA PRADESH,2001,60348023,63.7,24.0339273417
Lowest Crime,MADHYA PRADESH,2002,61572977.2,64.393,24.7218840021
Lowest Crime,MADHYA PRADESH,2003,62797931.4,65.086,23.066046408
Lowest Crime,MADHYA PRADESH,2004,64022885.6,65.779,23.6477938445
Lowest Crime,MADHYA PRADESH,2005,65247839.8,66.472,22.1831098844
Lowest Crime,MADHYA PRADESH,2006,66472794,67.165,21.4749510905
Lowest Crime,MADHYA PRADESH,2007,67697748.2,67.858,22.5989791489
Lowest Crime,MADHYA PRADESH,2008,68922702.4,68.551,21.5690904192
Lowest Crime,MADHYA PRADESH,2009,70147656.6,69.244,22.404169664
Lowest Crime,MADHYA PRADESH,2010,71372610.8,69.937,22.9527823298
Lowest Crime,MADHYA PRADESH,2011,72597565,70.63,22.7404321343
Lowest Crime,MADHYA PRADESH,2012,73822519.2,71.323,22.6462063083
Lowest Crime,MADHYA PRADESH,2013,75047473.4,72.016,29.2708055379
Low Crime,MADHYA PRADESH,2014,76272427.6,72.709,36.6921584649
Lowest Crime,MADHYA PRADESH,2015,77497381.8,73.402,30.0939198955
Lowest Crime,GUJARAT,2001,50671017,69.1,11.3358687867
Lowest Crime,GUJARAT,2002,51642278.1,70.121,10.2842093637
Lowest Crime,GUJARAT,2003,52613539.2,71.142,10.7329787843
Lowest Crime,GUJARAT,2004,53584800.3,72.163,11.5293888666
Lowest Crime,GUJARAT,2005,54556061.4,73.184,11.5184268049
Lowest Crime,GUJARAT,2006,55527322.5,74.205,12.966589556
Lowest Crime,GUJARAT,2007,56498583.6,75.226,14.5419574731
Lowest Crime,GUJARAT,2008,57469844.7,76.247,14.9017281058
Lowest Crime,GUJARAT,2009,58441105.8,77.268,13.6308166845
Lowest Crime,GUJARAT,2010,59412366.9,78.289,13.6251094215
Lowest Crime,GUJARAT,2011,60383628,79.31,14.4757781033
Lowest Crime,GUJARAT,2012,61354889.1,80.331,15.5113963037
Lowest Crime,GUJARAT,2013,62326150.2,81.352,19.4509045739
Lowest Crime,GUJARAT,2014,63297411.3,82.373,16.6942056286
Lowest Crime,GUJARAT,2015,64268672.4,83.394,11.5981857438
Lowest Crime,DAMAN AND DIU,2001,158204,78.2,4.4246668858
Lowest Crime,DAMAN AND DIU,2002,166674.7,79.087,2.999855407
Lowest Crime,DAMAN AND DIU,2003,175145.4,79.974,5.7095419006
Lowest Crime,DAMAN AND DIU,2004,183616.1,80.861,3.2676873106
Lowest Crime,DAMAN AND DIU,2005,192086.8,81.748,4.685381817
Lowest Crime,DAMAN AND DIU,2006,200557.5,82.635,3.9888809942
Lowest Crime,DAMAN AND DIU,2007,209028.2,83.522,2.8704260956
Lowest Crime,DAMAN AND DIU,2008,217498.9,84.409,4.1379519621
Lowest Crime,DAMAN AND DIU,2009,225969.6,85.296,3.9828366294
Lowest Crime,DAMAN AND DIU,2010,234440.3,86.183,3.412382598
Lowest Crime,DAMAN AND DIU,2011,242911,87.07,2.0583670563
Lowest Crime,DAMAN AND DIU,2012,251381.7,87.957,3.1824114484
Lowest Crime,DAMAN AND DIU,2013,259852.4,88.844,6.927009333
Lowest Crime,DAMAN AND DIU,2014,268323.1,89.731,2.6087951429
Lowest Crime,DAMAN AND DIU,2015,276793.8,90.618,10.1158335194
Lowest Crime,DADRA NAGAR HAVELI,2001,220490,57.6,8.6171708468
Lowest Crime,DADRA NAGAR HAVELI,2002,232726.3,59.605,6.4453394395
Lowest Crime,DADRA NAGAR HAVELI,2003,244962.6,61.61,4.4904814041
Lowest Crime,DADRA NAGAR HAVELI,2004,257198.9,63.615,8.5536913261
Lowest Crime,DADRA NAGAR HAVELI,2005,269435.2,65.62,8.9075221055
Lowest Crime,DADRA NAGAR HAVELI,2006,281671.5,67.625,11.3607517978
Lowest Crime,DADRA NAGAR HAVELI,2007,293907.8,69.63,5.4438841024
Lowest Crime,DADRA NAGAR HAVELI,2008,306144.1,71.635,8.1660891064
Lowest Crime,DADRA NAGAR HAVELI,2009,318380.4,73.64,5.9677040421
Lowest Crime,DADRA NAGAR HAVELI,2010,330616.7,75.645,8.7714867398
Lowest Crime,DADRA NAGAR HAVELI,2011,342853,77.65,4.9583932473
Lowest Crime,DADRA NAGAR HAVELI,2012,355089.3,79.655,3.9426701959
Lowest Crime,DADRA NAGAR HAVELI,2013,367325.6,81.66,3.8113325072
Low Crime,DADRA NAGAR HAVELI,2014,379561.9,83.665,3.6884629358
Low Crime,DADRA NAGAR HAVELI,2015,391798.2,85.67,3.5732680753
