STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Madhya Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",808,717,759,900,869,1078,929,684,752,742,721,749,756,712,591,790
Maharashtra,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",463,495,470,804,1365,2042,1569,1700,1453,1081,1368,1903,2714,14622,18979,14590
Manipur,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",130,159,115,75,65,45,34,28,16,38,36,69,109,124,140,91
Meghalaya,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",16,16,11,14,24,15,15,10,19,8,12,17,32,26,30,47
Mizoram,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",43,74,122,212,89,36,35,27,97,87,69,155,194,118,96,105
Nagaland,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",217,259,117,142,143,100,69,86,95,118,78,39,84,72,78,58
Odisha,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",116,107,111,123,97,149,107,114,97,108,170,226,364,353,516,548
Punjab,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2231,3405,3545,3226,4464,4861,6112,5056,4421,5508,5464,10220,14654,14483,10159,5906
Rajasthan,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",705,675,712,856,973,1026,912,1087,1029,1165,1241,1115,943,823,883,1246
Sikkim,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",7,4,4,3,6,19,13,12,4,1,2,3,10,3,1,3
Tamil Nadu,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",4237,3661,4227,5916,4390,3161,2501,1967,1736,1467,1417,1402,1511,1413,1522,3424
Tripura,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",9,12,17,23,81,73,55,45,53,43,41,43,91,102,72,55
Uttar Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",9916,9979,11320,9330,10283,11353,10885,14142,14278,12953,8496,6755,6039,5742,6094,6834
Uttarakhand,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",297,331,346,258,367,461,380,280,392,342,244,297,390,252,411,628
West Bengal,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",506,493,452,399,485,591,752,765,555,790,761,886,981,1158,1292,1428
A&N Islands,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",0,4,1,2,3,1,22,28,37,25,12,4,13,30,16,21
Chandigarh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",39,47,65,89,164,181,144,91,71,48,53,68,101,137,173,144
D&N Haveli,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2,1,0,1,0,0,0,0,0,0,0,0,3,1,3,2
Daman & Diu,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",0,0,0,3,2,0,0,0,1,0,0,0,0,2,1,1
Delhi,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",622,749,1150,1237,1410,1494,1133,591,299,197,1127,829,442,322,277,297
Lakshadweep,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",0,0,0,0,2,2,2,0,2,1,3,11,7,17,4,5
Puducherry,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",3,1,0,1,2,2,1,2,3,2,6,6,1,1,2,3
INDIA,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",24377,25279,27913,27608,29421,31044,29831,30645,29401,29576,25785,29247,34668,46923,50796,49256
Andhra Pradesh,"GAMBLING ACT, 1867",33865,42750,32600,36258,37022,41488,62035,43775,56610,53482,51816,30664,21498,13994,5818,17097
Arunachal Pradesh,"GAMBLING ACT, 1867",0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1
Assam,"GAMBLING ACT, 1867",103,176,148,138,135,81,137,114,69,39,67,82,63,152,149,301
Bihar,"GAMBLING ACT, 1867",174,148,191,153,222,242,127,152,262,200,210,211,308,259,217,336
Chattisgarh,"GAMBLING ACT, 1867",6934,7754,10373,11631,11063,10833,10847,9071,7389,7810,7345,8756,8499,9324,11287,10363
Goa,"GAMBLING ACT, 1867",1238,1211,1334,1471,1365,1286,956,617,568,570,596,530,502,532,1251,799
Gujarat,"GAMBLING ACT, 1867",7850,6796,8083,8468,8849,8248,8568,8247,8229,9017,9042,9427,10411,9973,11173,10992
Haryana,"GAMBLING ACT, 1867",5962,7159,8617,8186,6862,6406,5802,5467,4683,4417,4008,4138,4263,3674,4729,4578
Himachal Pradesh,"GAMBLING ACT, 1867",314,412,563,638,566,531,354,356,351,320,251,218,195,297,302,294
Jammu & Kashmir,"GAMBLING ACT, 1867",72,134,137,126,149,163,176,152,130,79,146,165,115,175,156,116
Jharkhand,"GAMBLING ACT, 1867",75,112,126,112,193,156,118,95,118,137,102,153,99,73,117,134
Karnataka,"GAMBLING ACT, 1867",6180,7162,6900,6708,7245,7167,5907,5073,5817,5930,7024,7161,9163,10008,9993,10529
Kerala,"GAMBLING ACT, 1867",2052,1822,1649,2167,2561,1726,1769,1975,2659,3257,3601,4496,4394,3810,3691,3556
Madhya Pradesh,"GAMBLING ACT, 1867",23037,30295,31449,31239,34759,32390,28111,26284,19896,19768,20769,22918,23203,22050,22618,24299
Maharashtra,"GAMBLING ACT, 1867",23897,24456,27254,21331,17647,17195,16508,12243,11589,11986,13296,14704,15743,16637,20171,22991
Manipur,"GAMBLING ACT, 1867",8,24,9,10,1,2,5,2,0,0,12,8,13,6,29,28
Meghalaya,"GAMBLING ACT, 1867",30,11,13,6,15,8,27,32,14,8,5,13,16,9,4,3
Mizoram,"GAMBLING ACT, 1867",2,0,3,5,1,0,2,54,54,0,0,0,0,0,0,0
Nagaland,"GAMBLING ACT, 1867",0,1,0,0,2,3,1,1,1,1,0,2,2,8,19,9
Odisha,"GAMBLING ACT, 1867",755,624,614,762,541,733,846,750,709,716,757,761,816,944,1173,1380
Punjab,"GAMBLING ACT, 1867",3391,3862,4493,4137,4861,4305,5081,4537,3944,2957,2254,2301,2208,1783,1829,1943
Rajasthan,"GAMBLING ACT, 1867",9461,10486,10993,10458,10742,11245,11640,11323,12462,14482,14527,15625,15325,16237,19099,21495
Sikkim,"GAMBLING ACT, 1867",0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0
Tamil Nadu,"GAMBLING ACT, 1867",17348,20376,18112,34982,33804,18717,14512,12636,11957,9445,8618,9475,6022,5574,5679,4398
Tripura,"GAMBLING ACT, 1867",5,1,1,4,2,7,13,12,4,7,2,7,11,2,5,0
Uttar Pradesh,"GAMBLING ACT, 1867",6576,6615,8538,8708,8107,8201,9350,12120,13609,12100,8354,6938,7006,8339,8424,11174
Uttarakhand,"GAMBLING ACT, 1867",238,328,404,466,555,616,507,442,557,455,241,243,265,238,341,351
West Bengal,"GAMBLING ACT, 1867",604,789,1092,897,371,286,251,265,171,262,351,339,399,305,436,473
A&N Islands,"GAMBLING ACT, 1867",17,22,10,20,13,20,40,56,31,48,60,66,83,90,53,58
Chandigarh,"GAMBLING ACT, 1867",107,117,224,257,313,323,235,212,144,147,244,330,414,333,454,188
D&N Haveli,"GAMBLING ACT, 1867",2,0,0,0,3,1,2,3,1,1,1,14,3,2,3,2
Daman & Diu,"GAMBLING ACT, 1867",5,1,0,2,1,1,4,6,5,2,2,8,13,7,8,6
Delhi,"GAMBLING ACT, 1867",1177,1336,1318,1306,1481,1505,996,141,150,292,598,518,560,631,894,1098
Lakshadweep,"GAMBLING ACT, 1867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"GAMBLING ACT, 1867",18,21,50,36,41,45,44,34,35,23,36,31,22,17,10,12
INDIA,"GAMBLING ACT, 1867",151497,175001,175298,190682,189523,173930,184972,156247,162218,157958,154335,140302,131634,125494,130134,149004
Andhra Pradesh,"EXCISE ACT, 1944",2871,2759,1385,1686,758,1272,1958,1933,6812,4689,3806,6914,8345,12516,7829,5431
Arunachal Pradesh,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
Assam,"EXCISE ACT, 1944",182,99,68,44,78,33,43,62,20,2,17,27,15,14,28,41
Bihar,"EXCISE ACT, 1944",1285,1234,946,1135,2209,1645,1947,1627,2255,2180,2043,2706,3223,3555,4890,13472
Chattisgarh,"EXCISE ACT, 1944",8907,8391,10491,10745,10877,11670,11595,13267,15296,15235,10606,11743,14698,14263,15919,16250
Goa,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gujarat,"EXCISE ACT, 1944",0,0,1,0,5,0,0,10,0,2,1,0,0,0,0,0
Haryana,"EXCISE ACT, 1944",12223,13485,12533,11438,10361,10797,7848,11637,13289,9819,9723,17628,20302,13540,16363,16276
Himachal Pradesh,"EXCISE ACT, 1944",2949,2921,3094,3283,3220,3442,2343,2587,2590,2298,1830,2097,737,1492,1738,2047
Jammu & Kashmir,"EXCISE ACT, 1944",314,240,425,319,368,406,306,383,507,512,563,488,406,410,460,488
Jharkhand,"EXCISE ACT, 1944",309,216,190,216,444,275,263,220,557,418,315,329,294,598,300,488
Karnataka,"EXCISE ACT, 1944",4308,2513,1592,1576,3051,1954,3641,6587,4294,3190,2402,2471,3954,3669,4088,5300
Kerala,"EXCISE ACT, 1944",322,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,"EXCISE ACT, 1944",19511,20087,18832,21358,24443,22605,21576,24631,27862,32246,36454,42693,50711,51646,51470,63253
Maharashtra,"EXCISE ACT, 1944",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Manipur,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"EXCISE ACT, 1944",11,2,23,0,21,1,7,17,0,5,0,0,2,10,2,0
Mizoram,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nagaland,"EXCISE ACT, 1944",2,17,33,140,86,63,91,51,49,22,31,26,38,35,0,0
Odisha,"EXCISE ACT, 1944",8033,8665,9304,10993,10856,8849,7513,7225,8879,7330,7422,9301,11243,15065,15344,17417
Punjab,"EXCISE ACT, 1944",14922,16404,15443,15003,15110,9636,9313,8462,7357,7094,6386,7753,6568,7761,7506,7792
Rajasthan,"EXCISE ACT, 1944",7003,7736,8722,8612,8896,9329,9222,10386,12302,11687,12291,12911,12887,13072,14617,16070
Sikkim,"EXCISE ACT, 1944",0,111,146,131,169,99,123,0,0,0,0,104,106,35,0,0
Tamil Nadu,"EXCISE ACT, 1944",0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
Tripura,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,"EXCISE ACT, 1944",19277,24138,33077,37304,34815,40362,46546,63185,74908,71883,41887,33878,32525,37360,51491,58848
Uttarakhand,"EXCISE ACT, 1944",2760,2571,3075,2818,2918,3041,3199,2786,3252,2244,1993,2235,2129,2152,2281,2675
West Bengal,"EXCISE ACT, 1944",794,482,602,912,562,344,218,282,568,443,1756,2471,3097,4575,6575,6430
A&N Islands,"EXCISE ACT, 1944",2959,3850,5523,6517,6530,5725,4475,3843,3874,3390,2855,2064,1889,1951,2094,1570
Chandigarh,"EXCISE ACT, 1944",393,395,709,556,224,297,311,234,245,211,282,909,679,874,1097,818
D&N Haveli,"EXCISE ACT, 1944",8,7,4,22,16,6,4,1,9,2,1,1,0,9,10,3
Daman & Diu,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,"EXCISE ACT, 1944",6881,8586,11292,13046,14584,15122,10769,2275,1396,2179,1946,1779,1894,1408,1967,2356
Lakshadweep,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"EXCISE ACT, 1944",23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INDIA,"EXCISE ACT, 1944",116247,125062,137513,147854,150604,146973,143311,161691,186322,177081,144614,160528,175744,186012,206069,237026
Andhra Pradesh,PROHIBITION ACT,1685,2229,879,1020,1084,886,1530,1385,1931,1809,2065,2369,6360,7395,6112,1841
Arunachal Pradesh,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0
Assam,PROHIBITION ACT,2,46,1,0,0,1,0,6,3,0,0,0,23,0,1,18
Bihar,PROHIBITION ACT,2,3,21,12,0,22,4,6,125,46,71,0,7,0,0,632
Chattisgarh,PROHIBITION ACT,0,2,1,2,0,0,0,0,0,1,0,937,4,0,1,26
Goa,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,PROHIBITION ACT,112114,112253,113701,120862,126356,137022,158444,163310,176206,183769,187646,198297,217439,237608,254212,252373
Haryana,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jammu & Kashmir,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jharkhand,PROHIBITION ACT,0,0,3,0,0,1,0,1,0,6,0,0,13,3,0,4
Karnataka,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0
Kerala,PROHIBITION ACT,7042,7162,6679,7169,7068,4826,6460,10176,20213,37896,42747,52282,48828,51989,58197,65046
Madhya Pradesh,PROHIBITION ACT,0,0,0,0,2092,1955,0,1,0,0,0,0,0,14,0,43
Maharashtra,PROHIBITION ACT,132228,127316,119647,121028,93959,81364,75904,69412,71814,67932,71171,72442,61660,62772,65128,71119
Manipur,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,PROHIBITION ACT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,PROHIBITION ACT,228,180,0,0,262,221,169,116,110,146,91,55,133,51,64,93
Nagaland,PROHIBITION ACT,40,31,57,22,35,28,27,31,42,99,69,46,74,61,197,215
Odisha,PROHIBITION ACT,0,3,0,0,5,1,1,0,1,1,0,0,0,0,0,0
Punjab,PROHIBITION ACT,4,12,8,8,10,8,2,6,5,3,2,9,8,6,8,4
Rajasthan,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,PROHIBITION ACT,255576,238841,226120,128730,95270,89447,101746,117410,116512,93868,95311,90272,85530,107171,116810,119211
Tripura,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,PROHIBITION ACT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,PROHIBITION ACT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,PROHIBITION ACT,13,4,25,1,15,15,10,3,3,2,5,1,0,0,0,0
A&N Islands,PROHIBITION ACT,130,103,72,62,30,77,59,77,64,79,70,22,22,22,14,19
Chandigarh,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lakshadweep,PROHIBITION ACT,10,3,1,3,4,9,0,0,0,11,8,16,10,12,6,2
Puducherry,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,PROHIBITION ACT,509077,488189,467216,378919,326190,315883,344356,361940,387029,385670,399257,416749,420113,467111,500757,510646
Andhra Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,488,524,422,474,369,351,313,361,555,322,271,210,214,273,426,261
Arunachal Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,6,1,3,2,3,3,4,8,3,6,4,0,4,6,1
Assam,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,75,51,41,93,117,137,143,158,182,173,110,115,125,77,88,83
Bihar,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,378,264,221,339,388,272,140,144,163,129,137,118,90,108,70,101
Chattisgarh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,207,267,243,187,280,283,212,254,158,162,163,195,232,199,268,191
Goa,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,1,2,0,0,1,3,0,0,2,1,0,3,0,1,0
Gujarat,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,46,75,55,62,146,59,150,92,79,56,47,80,55,44,107,564
Haryana,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,32,48,40,17,37,41,25,29,25,71,33,45,50,20,53,48
Himachal Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,8,10,4,3,6,4,6,2,7,7,4,2,1,2,6,2
Jammu & Kashmir,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,353,312,238,201,228,214,135,92,63,47,29,17,28,33,34,40
Jharkhand,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,67,52,72,52,96,104,71,73,97,87,77,86,70,71,84,87
Karnataka,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,64,70,88,69,97,85,80,81,83,119,79,106,86,82,85,76
Kerala,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,377,352,361,356,323,439,351,413,496,466,631,443,462,444,373,782
Madhya Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,331,377,292,257,197,234,229,198,195,285,225,243,267,189,398,248
Maharashtra,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,61,58,77,66,65,96,63,71,39,51,57,60,57,33,88,65
Manipur,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,15,14,4,10,11,8,15,21,10,9,28,41,29,31,23,28
Meghalaya,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,6,5,11,7,4,4,10,7,13,8,11,3,4,11,4,15
Mizoram,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,7,4,11,3,8,8,6,8,1,2,13,4,6,20,6,6
Nagaland,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,7,7,2,4,12,12,7,6,5,8,18,21,7,26,7
Odisha,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,99,77,88,107,65,90,90,132,149,155,154,317,273,167,165,229
Punjab,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,15,24,11,17,24,13,16,9,14,29,15,12,5,11,7,7
Rajasthan,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,389,371,302,282,206,210,258,393,341,476,490,610,609,592,824,864
Sikkim,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,1,1,3,4,2,1,12,1,1,3,1,2,0,2,0
Tamil Nadu,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,360,427,260,397,431,378,306,284,526,350,325,605,540,689,545,464
Tripura,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,6,7,3,1,1,0,5,0,2,0,0,1,0,0,0
Uttar Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,960,1094,872,1053,978,893,1261,1088,1050,834,505,498,397,539,456,444
Uttarakhand,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,10,6,9,10,8,2,4,8,24,5,0,4,3,7,2,2
West Bengal,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,134,100,106,112,94,69,64,83,117,133,212,169,226,166,208,253
A&N Islands,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,1,2,1,1,1,5,0,2,2,1,1,1,0,0,1
Chandigarh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,3,3,2,4,3,0,2,1,0,0,0,1,0,0,0
D&N Haveli,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0
Daman & Diu,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Delhi,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,28,26,12,56,60,44,37,33,1,17,23,8,13,18,9,14
Lakshadweep,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Puducherry,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,1,1,4,0,6,7,2,11,13,10,11,3,6,4,17
INDIA,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,4529,4634,3864,4248,4254,4067,4019,4067,4419,4021,3669,4027,3875,3843,4368,4900
Andhra Pradesh,"IMMORAL TRAFFIC(P) ACT, 1956",1332,871,349,405,681,657,612,357,279,548,497,472,489,637,514,430
