STATE/UT,CRIME HEAD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Karnataka,DOWRY DEATH,216,227,209,266,170,202,182,195,200,217,217,220,233,194,259,261,244,251,259,264,248,267,218,277,313,254,234
Kerala,DOWRY DEATH,11,13,18,10,9,21,25,25,21,31,25,27,17,33,31,21,25,27,31,20,22,15,32,21,28,8,25
Madhya Pradesh,DOWRY DEATH,397,423,353,370,354,417,577,550,598,584,685,609,674,648,751,739,764,742,805,858,892,811,743,776,733,664,629
Maharashtra,DOWRY DEATH,858,828,727,746,519,471,443,420,420,395,371,308,303,368,314,341,387,436,390,341,393,339,329,320,279,268,248
Manipur,DOWRY DEATH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Meghalaya,DOWRY DEATH,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,6,2,2,0,0,1,1,2,1,1,0
Mizoram,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Nagaland,DOWRY DEATH,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Odisha,DOWRY DEATH,64,63,152,254,169,196,178,240,240,234,276,294,248,279,319,334,457,461,401,384,388,465,525,395,441,356,397
Punjab,DOWRY DEATH,103,99,101,147,117,130,180,185,219,193,199,159,166,110,113,99,130,133,128,126,121,143,118,126,90,85,80
Rajasthan,DOWRY DEATH,166,152,250,369,298,369,349,356,433,443,429,376,399,389,379,361,394,439,439,436,462,514,478,453,408,463,462
Sikkim,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Tamil Nadu,DOWRY DEATH,86,97,75,79,83,94,112,153,176,197,191,191,243,220,225,215,187,208,207,194,165,152,110,118,95,65,58
Tripura,DOWRY DEATH,5,7,3,5,6,7,19,9,10,17,16,16,16,20,20,34,35,36,16,29,25,30,37,29,33,28,19
Uttar Pradesh,DOWRY DEATH,1516,1597,1783,1952,1977,1850,1983,1786,2229,2088,2222,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335,2469,2335,2473
Uttarakhand,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,56,66,93,82,63,80,70,73,94,75,83,71,43,38,54,57
West Bengal,DOWRY DEATH,420,538,174,256,85,89,77,247,249,257,284,265,273,329,396,446,445,451,451,506,507,510,593,481,501,498,535
A&N Islands,DOWRY DEATH,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,3,0,0
Chandigarh,DOWRY DEATH,0,2,1,3,3,1,2,4,5,7,2,3,1,1,6,3,10,1,3,2,5,2,5,1,2,5,4
D&N Haveli,DOWRY DEATH,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Daman & Diu,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Delhi UT,DOWRY DEATH,102,133,121,107,132,160,132,148,126,122,125,113,135,130,126,114,137,138,129,141,143,142,134,144,153,122,162
Lakshadweep,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,DOWRY DEATH,0,4,6,0,4,3,1,2,1,4,3,1,5,1,6,4,3,2,2,0,1,1,0,1,1,1,0
INDIA,DOWRY DEATH,4836,5157,4962,5817,4935,5092,5513,6006,6917,6699,6995,6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233,8083,8455,7634,7621
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1721,1736,1773,1899,2185,2677,2559,2899,2967,3238,3231,3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816,6930,7735,8224,8596
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,40,33,36,20,28,11,29,37,46,65,53,78,68,43,61,67,63,72,72,58,84,51,67,93,121,101,109
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,192,190,113,146,184,572,569,686,648,720,777,850,984,878,883,899,1290,789,1272,1342,1400,1193,1840,2409,3099,4293,3378
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,317,209,151,145,432,563,533,612,432,547,456,562,621,688,704,451,530,853,999,726,534,790,118,331,572,198,324
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,0,0,0,0,0,0,0,0,0,1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601,2261,2122,1868,1770
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,26,28,37,27,21,27,17,15,22,26,20,17,18,19,23,30,18,20,32,37,36,29,49,162,202,150,143
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,802,907,852,850,1017,1042,1077,1077,1210,1083,944,756,750,722,757,802,736,822,828,727,668,685,745,1243,1352,1164,1224
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,186,213,306,276,356,483,529,546,611,553,605,478,454,344,403,380,486,417,435,451,476,474,525,1560,1688,1886,1860
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,194,242,233,257,286,296,295,288,283,297,288,310,326,250,284,286,275,322,295,318,350,331,250,493,538,434,410
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,327,282,209,185,237,235,376,425,516,507,480,622,785,875,990,830,960,986,935,972,1038,1194,1322,1389,1421,1343,1235
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,0,0,0,0,0,0,0,0,0,297,411,424,411,293,414,342,271,276,245,317,284,524,440,844,667
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,806,852,884,930,1159,1356,1310,1405,1340,1501,1568,1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978,3913,5263,5112,5260
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,685,580,553,468,679,810,1166,1561,1773,1643,1695,1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735,4362,4367,3987,4029
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6300,6916,6291,5572,6362,7355,6838,7822,7310,8054,8516,7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655,8252,9609,8049,8717
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2782,2635,2778,2996,3007,3475,3227,3131,2923,2766,2805,2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935,8132,10001,11713,11396
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,28,47,20,30,8,24,19,13,13,13,18,21,58,44,30,25,42,70,57,39,31,38,49,59,98,84,65
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,17,13,19,11,14,24,29,12,17,8,25,23,13,34,44,57,45,54,72,48,74,43,98,105,95,68
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,39,45,52,44,32,59,54,56,53,74,70,52,73,88,66,49,51,66,78,61,75,72,85,81,97,75,71
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,1,0,4,5,4,3,2,6,1,4,3,7,3,8,15,11,13,9,16,18,16,8,14
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,614,722,799,910,955,1446,1690,1586,1586,1494,1658,1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187,4618,5543,6499,8252
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,45,16,17,15,60,73,129,158,150,198,340,372,341,346,261,308,314,427,388,319,349,282,340,1045,1113,1123,1025
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1412,1430,1740,1587,1505,2121,2583,2815,2908,3109,3092,2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352,4829,5999,4813,4839
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5,8,12,18,31,37,47,32,22,21,0,0,17,25,40,38,14,13,19,10,11,24,19,29,34,21,34
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,593,676,635,680,935,1212,1253,1461,1779,1959,1948,1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494,1271,1102,1163,854
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,145,82,122,100,95,80,94,93,73,71,59,58,128,127,134,161,207,244,346,384,376,294,314,407,492,352,214
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2345,2116,2081,2416,2891,2631,2526,2023,2423,2481,2607,2870,2145,1098,1900,1835,2096,2522,2955,2782,2793,3455,3247,7303,8605,7885,11335
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,0,0,0,0,0,0,0,0,0,103,145,136,143,100,153,146,120,119,125,116,139,295,343,318,344
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,357,335,384,1074,1295,1314,1254,1277,1243,1200,1057,954,964,1186,1566,1572,1837,2281,2396,1942,2465,2363,3345,4913,5670,5069,4177
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,14,28,13,27,18,13,9,10,15,13,23,19,17,9,6,11,14,21,24,30,31,15,17,45,41,57,46
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4,5,9,14,17,10,13,9,10,26,34,24,36,11,20,31,20,32,19,26,29,21,45,143,87,76,76
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5,1,5,3,1,5,7,2,1,8,4,7,3,4,5,5,5,0,4,2,11,2,2,1,2,5,1
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,2,0,2,4,2,0,0,2,3,7,4
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,176,203,226,259,291,520,694,675,653,588,549,502,446,489,601,762,718,868,611,552,601,657,727,3515,4322,5367,4165
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,1,6,1
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,26,37,40,17,18,14,14,16,19,36,33,35,59,56,50,60,56,89,65,53,46,35,9,12,32,33,43
INDIA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,20194,20611,20385,20985,24117,28475,28939,30764,31046,32311,32940,34124,33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351,70739,82235,82422,84746
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,1056,999,1079,2451,371,769,994,1023,1050,1763,2280,2271,2024,2286,2310,2508,2411,3316,3551,3520,4562,3658,3714,4702,3791,3488,2839
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,1,1,0,0,1,0,1,0,1,1,2,3,2,0,0,0,2,1,1,6,1,0,2,3,3,2,10
Assam,INSULT TO THE MODESTY OF WOMEN,13,10,96,5,13,15,8,34,12,21,18,4,7,6,11,19,10,10,2,10,20,8,5,14,1,111,34
Bihar,INSULT TO THE MODESTY OF WOMEN,21,24,24,9,75,22,107,48,89,55,122,21,6,11,13,13,53,12,21,12,16,11,37,52,69,96,167
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,161,147,105,131,132,143,111,125,152,182,174,162,180,79,53,101
Goa,INSULT TO THE MODESTY OF WOMEN,8,11,14,17,11,6,7,7,8,7,9,7,6,7,15,8,7,7,12,10,16,12,16,54,57,34,32
Gujarat,INSULT TO THE MODESTY OF WOMEN,227,255,1199,258,97,45,81,90,139,172,119,111,104,92,164,104,138,120,122,114,110,93,93,77,173,73,59
Haryana,INSULT TO THE MODESTY OF WOMEN,234,272,417,536,426,296,434,287,385,300,423,401,1424,1302,850,597,491,409,605,605,580,490,434,643,102,90,124
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,5,5,9,22,19,14,16,18,15,23,15,14,12,18,16,29,31,33,41,37,78,62,68,111,60,58,49
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,135,143,217,207,213,140,166,319,361,341,342,288,368,376,264,371,347,353,296,371,262,350,347,354,237,175,153
Jharkhand,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,36,44,15,23,83,16,7,10,18,18,10,13
Karnataka,INSULT TO THE MODESTY OF WOMEN,32,42,53,157,94,192,40,147,139,147,75,81,100,84,57,71,38,28,44,64,83,81,100,137,170,154,160
Kerala,INSULT TO THE MODESTY OF WOMEN,3,5,1,19,3,14,705,70,96,50,69,81,102,68,133,175,222,262,258,395,537,573,498,404,257,267,328
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,604,675,601,546,1158,765,705,748,741,693,840,751,783,705,804,792,762,780,758,728,918,762,774,736,429,390,358
Maharashtra,INSULT TO THE MODESTY OF WOMEN,603,460,352,1415,541,808,870,835,765,825,930,1120,769,682,862,919,984,1039,1091,1099,1180,1071,1294,2632,1575,1119,924
Manipur,INSULT TO THE MODESTY OF WOMEN,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,5
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0,0,1,0,0,0,1,1,0,0,13,0,0,1,0,0,0,1,4,1,0,1,0,0,54,20,17
Mizoram,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,29,2,1
Nagaland,INSULT TO THE MODESTY OF WOMEN,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,1,0,3,0,0,1,1,9,8
Odisha,INSULT TO THE MODESTY OF WOMEN,60,62,106,120,122,109,175,234,234,158,135,458,188,188,170,184,247,241,282,210,232,235,304,426,379,472,437
