STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tripura,ATTEMPT TO COMMIT MURDER,25,38,87,36,56,52,58,53,59,63,75,79,59,79,89,58
Uttar Pradesh,ATTEMPT TO COMMIT MURDER,7964,6283,3793,5580,5637,4997,4424,4233,4141,4004,4653,4811,5259,5223,4897,5109
Uttarakhand,ATTEMPT TO COMMIT MURDER,279,249,236,247,202,215,228,217,185,219,189,161,181,171,199,212
West Bengal,ATTEMPT TO COMMIT MURDER,449,413,400,390,434,672,877,1732,2119,2111,2242,2854,3523,7248,9918,11973
A&N Islands,ATTEMPT TO COMMIT MURDER,0,3,4,1,3,4,19,11,4,7,6,3,4,11,6,15
Chandigarh,ATTEMPT TO COMMIT MURDER,10,35,15,19,15,21,26,28,18,30,40,44,50,33,42,40
D&N Haveli,ATTEMPT TO COMMIT MURDER,2,2,5,4,5,0,2,2,5,0,2,2,2,1,2,2
Daman & Diu,ATTEMPT TO COMMIT MURDER,5,3,3,1,2,3,7,2,4,2,1,5,1,6,5,3
Delhi,ATTEMPT TO COMMIT MURDER,510,440,407,519,467,510,530,389,369,311,386,439,585,770,770,646
Lakshadweep,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,2,2,0,1,0,1,0,0,0,1,1
Puducherry,ATTEMPT TO COMMIT MURDER,32,43,32,18,24,24,42,35,25,19,22,27,11,15,13,12
INDIA,ATTEMPT TO COMMIT MURDER,31523,30380,25942,27890,28031,27230,27401,28598,29038,29421,31385,35138,35417,41791,46471,49667
Andhra Pradesh,C.H. NOT AMOUNTING TO MURDER,136,165,147,163,111,123,135,165,134,155,171,158,170,175,208,220
Arunachal Pradesh,C.H. NOT AMOUNTING TO MURDER,3,6,3,1,5,3,2,2,5,3,2,1,3,4,5,6
Assam,C.H. NOT AMOUNTING TO MURDER,40,55,48,63,117,32,109,71,35,46,48,54,54,57,91,34
Bihar,C.H. NOT AMOUNTING TO MURDER,250,396,298,280,259,326,257,386,243,344,348,285,259,201,121,150
Chhattisgarh,C.H. NOT AMOUNTING TO MURDER,45,24,51,25,41,15,26,18,19,30,28,26,24,29,32,37
Goa,C.H. NOT AMOUNTING TO MURDER,5,4,6,5,5,1,7,11,11,3,6,3,2,6,7,12
Gujarat,C.H. NOT AMOUNTING TO MURDER,94,13,29,27,27,24,21,35,30,44,43,43,49,57,49,73
Haryana,C.H. NOT AMOUNTING TO MURDER,78,89,76,65,57,59,72,92,78,63,60,68,55,65,61,42
Himachal Pradesh,C.H. NOT AMOUNTING TO MURDER,11,6,5,12,22,20,9,5,13,12,6,9,6,9,7,3
Jammu & Kashmir,C.H. NOT AMOUNTING TO MURDER,33,31,29,29,37,40,23,31,23,26,29,16,28,18,30,22
Jharkhand,C.H. NOT AMOUNTING TO MURDER,143,115,109,115,87,97,92,112,104,82,83,92,107,59,34,31
Karnataka,C.H. NOT AMOUNTING TO MURDER,74,55,58,57,80,68,55,81,79,94,85,71,92,99,82,77
Kerala,C.H. NOT AMOUNTING TO MURDER,111,210,343,473,88,87,92,95,100,86,105,107,104,84,87,132
Madhya Pradesh,C.H. NOT AMOUNTING TO MURDER,125,194,203,188,134,138,155,204,117,123,139,114,117,141,132,136
Maharashtra,C.H. NOT AMOUNTING TO MURDER,101,93,113,115,98,100,113,111,98,152,144,171,203,171,151,184
Manipur,C.H. NOT AMOUNTING TO MURDER,5,3,6,3,4,4,2,4,2,1,4,4,4,5,0,4
Meghalaya,C.H. NOT AMOUNTING TO MURDER,2,3,17,7,2,8,8,6,12,8,3,8,19,12,3,5
Mizoram,C.H. NOT AMOUNTING TO MURDER,5,5,3,2,5,7,4,6,8,7,8,7,2,6,10,8
Nagaland,C.H. NOT AMOUNTING TO MURDER,9,5,8,5,8,8,8,13,7,13,11,6,18,3,7,14
Odisha,C.H. NOT AMOUNTING TO MURDER,53,58,188,25,48,36,22,84,48,31,51,54,39,32,26,16
Punjab,C.H. NOT AMOUNTING TO MURDER,80,79,89,148,216,165,170,146,129,120,112,104,104,98,124,120
Rajasthan,C.H. NOT AMOUNTING TO MURDER,63,68,61,59,59,79,64,54,80,104,100,98,86,81,69,81
Sikkim,C.H. NOT AMOUNTING TO MURDER,7,2,3,3,2,2,3,3,3,2,8,0,0,2,2,1
Tamil Nadu,C.H. NOT AMOUNTING TO MURDER,19,36,28,26,28,20,28,28,26,32,28,44,33,50,59,36
Tripura,C.H. NOT AMOUNTING TO MURDER,0,1,0,0,1,1,2,2,2,8,0,2,1,3,3,2
Uttar Pradesh,C.H. NOT AMOUNTING TO MURDER,1186,1243,1525,1436,1520,1543,1616,1493,1439,1401,1454,1410,1268,1412,1338,1272
Uttarakhand,C.H. NOT AMOUNTING TO MURDER,38,47,31,29,30,40,50,40,51,60,54,44,42,38,38,29
West Bengal,C.H. NOT AMOUNTING TO MURDER,581,540,484,468,408,401,394,488,931,630,486,522,415,342,328,392
A&N Islands,C.H. NOT AMOUNTING TO MURDER,0,1,1,2,3,1,1,2,4,4,2,0,1,4,0,1
Chandigarh,C.H. NOT AMOUNTING TO MURDER,6,7,2,10,4,8,8,6,8,9,6,5,3,6,7,6
D&N Haveli,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,0
Daman & Diu,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,1
Delhi,C.H. NOT AMOUNTING TO MURDER,63,68,65,80,64,75,94,66,84,71,71,82,65,58,58,54
Lakshadweep,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,C.H. NOT AMOUNTING TO MURDER,1,2,0,14,8,3,2,3,5,16,12,12,2,3,5,2
INDIA,C.H. NOT AMOUNTING TO MURDER,3367,3624,4029,3935,3578,3535,3644,3863,3930,3782,3707,3620,3380,3332,3176,3203
Andhra Pradesh,RAPE,871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341,1635,1940,2132,2272
Arunachal Pradesh,RAPE,33,38,31,42,35,37,48,42,59,47,42,46,75,83,71,92
Assam,RAPE,817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716,1937,1980,1733,1779
Bihar,RAPE,888,1040,985,1390,1147,1232,1555,1302,929,795,934,927,1128,1127,1041,1008
Chhattisgarh,RAPE,959,992,898,969,990,995,982,978,976,1012,1053,1034,1380,1436,1560,1626
Goa,RAPE,12,12,31,37,20,21,20,30,47,36,29,55,86,95,86,61
Gujarat,RAPE,286,267,236,339,324,354,316,374,433,408,439,473,732,841,503,982
Haryana,RAPE,398,361,353,386,461,608,488,631,603,720,733,668,971,1174,1070,1187
Himachal Pradesh,RAPE,124,137,126,153,141,113,159,157,183,160,168,183,250,283,244,252
Jammu & Kashmir,RAPE,169,192,211,218,201,250,288,219,237,245,277,303,378,331,296,256
Jharkhand,RAPE,567,797,712,797,753,799,855,791,719,773,784,812,1204,1050,1053,1109
Karnataka,RAPE,293,292,321,291,343,400,436,446,509,586,636,621,1030,1324,589,1655
Kerala,RAPE,562,499,394,480,478,601,512,568,568,634,1132,1019,1221,1347,1256,1656
Madhya Pradesh,RAPE,2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425,4335,5076,4391,4882
Maharashtra,RAPE,1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839,3063,3438,4144,4189
Manipur,RAPE,20,14,18,31,25,40,20,38,31,34,53,63,72,75,46,55
Meghalaya,RAPE,26,38,40,54,63,74,82,88,112,149,130,164,183,118,93,190
Mizoram,RAPE,52,76,54,20,37,72,83,77,83,92,77,103,89,120,58,23
Nagaland,RAPE,17,17,14,18,17,23,13,19,22,16,23,21,31,30,35,26
Odisha,RAPE,790,691,725,770,799,985,939,1113,1023,1025,1112,1458,1832,1978,2251,1983
Punjab,RAPE,298,299,380,390,398,442,519,517,511,546,479,680,888,981,886,838
Rajasthan,RAPE,1049,1051,1050,1038,993,1085,1238,1355,1519,1571,1800,2049,3285,3759,3644,3656
Sikkim,RAPE,8,6,10,3,18,20,24,20,18,18,16,34,43,47,5,92
Tamil Nadu,RAPE,423,534,557,618,571,457,523,573,596,686,677,737,923,455,421,319
Tripura,RAPE,102,108,114,160,162,189,157,204,190,238,205,229,233,239,213,207
Uttar Pradesh,RAPE,1958,1415,911,1397,1217,1314,1648,1871,1759,1563,2042,1963,3050,3467,3025,4816
Uttarakhand,RAPE,74,89,107,115,133,147,117,87,111,121,129,148,228,270,283,336
West Bengal,RAPE,709,759,1002,1475,1686,1731,2106,2263,2336,2311,2363,2046,1685,1466,1199,1110
A&N Islands,RAPE,3,2,2,10,4,6,3,12,18,24,13,12,27,32,36,30
Chandigarh,RAPE,18,18,18,19,33,19,22,20,29,31,27,27,45,59,72,68
D&N Haveli,RAPE,6,4,1,7,5,6,7,6,4,3,4,3,5,5,8,14
Daman & Diu,RAPE,0,0,5,1,2,3,1,0,1,1,1,5,8,2,5,12
Delhi,RAPE,381,403,490,551,658,623,598,466,469,507,572,706,1636,2096,2199,2155
Lakshadweep,RAPE,0,1,2,0,0,0,1,2,1,0,0,0,2,1,0,5
Puducherry,RAPE,9,6,2,4,6,9,9,8,1,3,7,13,17,10,3,6
INDIA,RAPE,16075,16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923,33707,36735,34651,38947
Andhra Pradesh,KIDNAPPING and ABDUCTION,1182,1302,1485,1526,1612,2030,2097,1970,1958,2053,2154,1870,2119,2218,1961,2219
Arunachal Pradesh,KIDNAPPING and ABDUCTION,83,57,68,65,58,75,68,79,62,67,93,82,142,146,175,112
Assam,KIDNAPPING and ABDUCTION,1480,1595,1628,1906,1751,1825,1971,2239,2718,3250,3764,3812,4801,4823,5831,6126
Bihar,KIDNAPPING and ABDUCTION,2159,2361,2427,3413,2693,2619,2530,3047,3222,3674,4268,4807,5570,6570,7128,7324
Chhattisgarh,KIDNAPPING and ABDUCTION,207,178,177,214,246,239,244,273,286,359,472,450,2235,2014,2083,2071
Goa,KIDNAPPING and ABDUCTION,9,9,14,13,17,16,12,36,33,25,28,24,108,152,112,106
Gujarat,KIDNAPPING and ABDUCTION,998,1015,1044,1133,1164,1128,1312,1323,1348,1447,1614,1720,2666,2722,2108,2784
Haryana,KIDNAPPING and ABDUCTION,449,427,388,423,492,635,801,854,916,963,959,1349,2772,3082,3520,3932
Himachal Pradesh,KIDNAPPING and ABDUCTION,126,138,113,123,118,130,171,151,150,194,212,172,352,304,327,290
Jammu & Kashmir,KIDNAPPING and ABDUCTION,606,674,712,735,748,789,758,704,873,896,1077,1093,983,860,1153,810
Jharkhand,KIDNAPPING and ABDUCTION,441,468,487,468,621,635,762,792,827,978,941,1056,1271,1423,1402,1309
Karnataka,KIDNAPPING and ABDUCTION,559,645,531,592,589,563,680,758,892,1374,1395,1451,1836,1933,2354,2916
Kerala,KIDNAPPING and ABDUCTION,183,162,189,232,226,294,255,253,256,261,299,281,252,222,271,241
Madhya Pradesh,KIDNAPPING and ABDUCTION,956,964,887,832,847,808,922,929,1036,1187,1288,1302,3354,7833,6778,7123
Maharashtra,KIDNAPPING and ABDUCTION,985,953,926,1045,1194,1261,1312,1379,1286,1508,1669,1583,2640,3793,8255,9333
Manipur,KIDNAPPING and ABDUCTION,94,157,120,128,106,130,150,176,159,199,169,223,181,182,179,145
Meghalaya,KIDNAPPING and ABDUCTION,55,52,49,54,48,57,52,56,56,71,87,92,139,179,212,156
Mizoram,KIDNAPPING and ABDUCTION,2,7,8,15,13,6,4,9,9,9,6,8,7,7,15,6
Nagaland,KIDNAPPING and ABDUCTION,23,27,38,23,26,31,17,44,52,50,34,27,40,37,85,91
Odisha,KIDNAPPING and ABDUCTION,522,523,477,526,641,704,801,908,930,1016,1139,1542,2370,3073,3236,3046
Punjab,KIDNAPPING and ABDUCTION,513,551,464,463,478,591,760,718,692,789,681,919,1274,1550,1694,1591
Rajasthan,KIDNAPPING and ABDUCTION,2718,2587,2238,2384,1993,1970,2177,2358,2870,2985,3204,3243,4986,5671,5426,5299
Sikkim,KIDNAPPING and ABDUCTION,6,9,0,5,3,8,9,4,6,6,10,10,16,20,21,12
Tamil Nadu,KIDNAPPING and ABDUCTION,952,1001,879,870,1029,906,1270,1375,1372,1720,1984,1945,1779,1746,1603,1223
Tripura,KIDNAPPING and ABDUCTION,93,128,146,99,85,105,113,146,121,114,154,139,144,126,152,139
Uttar Pradesh,KIDNAPPING and ABDUCTION,4330,3430,2208,3337,2955,3318,4478,5428,6083,6321,8500,8878,11183,12361,11999,15898
Uttarakhand,KIDNAPPING and ABDUCTION,183,198,171,213,203,212,253,247,275,286,314,297,1032,691,757,790
West Bengal,KIDNAPPING and ABDUCTION,875,831,902,1200,1207,1355,1800,2332,2750,3345,4285,5117,4573,6110,6115,6045
A&N Islands,KIDNAPPING and ABDUCTION,2,2,2,3,2,5,12,17,16,10,15,8,14,22,28,26
Chandigarh,KIDNAPPING and ABDUCTION,56,54,32,54,54,65,52,50,40,38,58,87,261,187,230,180
D&N Haveli,KIDNAPPING and ABDUCTION,4,9,7,12,13,18,9,17,12,18,9,13,13,14,14,10
Daman & Diu,KIDNAPPING and ABDUCTION,5,3,1,2,4,3,1,4,0,2,3,3,13,10,27,21
Delhi,KIDNAPPING and ABDUCTION,1627,1323,1156,1209,1590,1442,1688,1567,2536,3208,3767,3970,6294,7143,7730,6619
Lakshadweep,KIDNAPPING and ABDUCTION,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Puducherry,KIDNAPPING and ABDUCTION,4,10,18,10,6,18,20,17,18,17,12,19,41,13,18,15
INDIA,KIDNAPPING and ABDUCTION,22487,21850,19992,23327,22832,23991,27561,30261,33860,38440,44664,47592,65461,77237,82999,88008
Andhra Pradesh,DACOITY,214,197,176,199,250,178,170,110,102,134,126,131,125,134,91,125
Arunachal Pradesh,DACOITY,22,22,37,30,23,28,16,14,20,15,13,20,24,12,10,10
Assam,DACOITY,532,473,471,360,334,319,299,312,251,248,305,266,246,267,191,156
Bihar,DACOITY,1291,1289,1221,1319,1212,1001,686,686,654,644,556,540,579,538,426,349
Chhattisgarh,DACOITY,87,144,140,106,204,160,115,124,134,122,68,64,47,58,106,60
Goa,DACOITY,7,5,5,5,2,7,7,3,4,2,2,6,11,13,4,7
Gujarat,DACOITY,327,804,338,360,282,290,245,256,246,186,221,287,288,296,275,323
Haryana,DACOITY,77,61,63,52,88,104,139,120,153,147,167,204,154,172,201,177
Himachal Pradesh,DACOITY,4,0,8,1,6,7,5,6,4,2,1,1,14,4,1,3
Jammu & Kashmir,DACOITY,24,42,23,28,13,10,18,3,1,6,14,6,6,6,7,6
Jharkhand,DACOITY,636,580,702,580,592,536,524,416,412,335,309,284,232,244,211,210
Karnataka,DACOITY,178,178,220,177,208,202,178,270,273,272,214,211,280,292,268,329
Kerala,DACOITY,176,137,142,129,110,129,121,91,112,74,71,72,67,71,92,71
Madhya Pradesh,DACOITY,166,136,153,147,147,151,143,160,117,110,118,107,98,105,145,125
Maharashtra,DACOITY,529,548,514,629,641,663,716,811,780,778,773,793,833,885,784,656
Manipur,DACOITY,20,3,3,2,4,2,3,1,1,0,1,8,0,0,0,1
Meghalaya,DACOITY,97,64,83,91,81,57,55,63,64,42,49,52,51,56,41,31
Mizoram,DACOITY,3,5,5,10,3,7,0,4,2,3,1,2,4,8,3,6
Nagaland,DACOITY,11,21,19,14,12,16,7,6,8,3,7,1,3,8,3,2
Odisha,DACOITY,199,246,178,238,184,239,247,305,380,346,417,402,436,484,379,456
Punjab,DACOITY,45,50,30,17,27,35,37,40,38,65,28,48,18,32,25,43
Rajasthan,DACOITY,60,47,36,58,41,37,71,64,53,37,28,31,59,64,68,66
Sikkim,DACOITY,0,0,2,0,2,0,0,1,0,1,0,0,0,1,0,0
Tamil Nadu,DACOITY,158,176,95,72,73,95,88,100,97,85,101,97,83,101,93,109
Tripura,DACOITY,26,29,36,27,22,18,14,13,7,16,11,7,9,1,4,1
Uttar Pradesh,DACOITY,905,552,317,378,286,218,437,313,365,337,379,322,596,294,277,284
Uttarakhand,DACOITY,32,32,26,37,48,31,46,16,35,12,13,29,17,19,17,17
West Bengal,DACOITY,274,204,217,212,211,177,146,184,214,288,236,279,206,139,163,115
A&N Islands,DACOITY,0,1,2,0,0,0,5,0,0,1,1,5,1,0,0,0
Chandigarh,DACOITY,5,1,3,0,0,1,2,1,4,5,6,3,11,6,8,5
D&N Haveli,DACOITY,0,3,4,3,3,5,1,1,9,2,7,2,1,0,1,3
Daman & Diu,DACOITY,0,2,4,0,4,8,3,2,0,6,4,1,6,0,2,1
Delhi,DACOITY,48,47,28,30,27,14,34,24,36,32,33,28,33,82,75,46
Lakshadweep,DACOITY,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Puducherry,DACOITY,1,2,2,0,1,2,1,10,7,2,5,5,1,3,1,2
INDIA,DACOITY,6154,6101,5303,5311,5141,4747,4579,4530,4586,4358,4285,4314,4539,4395,3972,3795
Andhra Pradesh,PREPARATION AND ASSEMBLY FOR DACOITY,9,3,5,2,4,3,6,11,27,2,7,1,5,2,13,2
Arunachal Pradesh,PREPARATION AND ASSEMBLY FOR DACOITY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Assam,PREPARATION AND ASSEMBLY FOR DACOITY,14,18,26,31,22,12,12,74,21,12,4,7,9,20,12,4
Bihar,PREPARATION AND ASSEMBLY FOR DACOITY,147,141,120,145,165,140,78,60,64,46,105,54,53,56,59,62
Chhattisgarh,PREPARATION AND ASSEMBLY FOR DACOITY,19,6,14,8,25,24,13,17,16,15,7,4,5,6,10,8
Goa,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gujarat,PREPARATION AND ASSEMBLY FOR DACOITY,19,12,14,15,15,12,10,14,11,18,24,19,18,15,17,24
Haryana,PREPARATION AND ASSEMBLY FOR DACOITY,141,162,190,145,138,224,266,257,297,248,176,176,105,81,106,89
Himachal Pradesh,PREPARATION AND ASSEMBLY FOR DACOITY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,PREPARATION AND ASSEMBLY FOR DACOITY,48,55,37,55,49,45,40,50,53,19,40,33,23,20,17,12
Karnataka,PREPARATION AND ASSEMBLY FOR DACOITY,36,66,65,109,119,247,242,248,346,300,399,536,512,419,455,509
Kerala,PREPARATION AND ASSEMBLY FOR DACOITY,13,4,19,15,158,125,157,267,266,221,245,289,260,84,64,51
Madhya Pradesh,PREPARATION AND ASSEMBLY FOR DACOITY,130,142,141,134,130,121,109,124,156,110,117,127,198,180,217,189
Maharashtra,PREPARATION AND ASSEMBLY FOR DACOITY,328,271,249,315,307,323,405,274,287,285,291,322,263,293,275,255
Manipur,PREPARATION AND ASSEMBLY FOR DACOITY,17,8,0,2,0,27,146,212,188,196,154,171,136,0,0,1
Meghalaya,PREPARATION AND ASSEMBLY FOR DACOITY,3,2,1,2,1,4,1,0,1,1,0,1,1,0,2,0
Mizoram,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,PREPARATION AND ASSEMBLY FOR DACOITY,22,30,30,0,50,76,42,67,63,117,84,99,126,116,107,110
Punjab,PREPARATION AND ASSEMBLY FOR DACOITY,84,83,117,79,103,90,92,122,96,143,143,184,139,136,154,170
Rajasthan,PREPARATION AND ASSEMBLY FOR DACOITY,40,33,41,46,79,97,81,77,57,84,72,74,61,110,78,79
Sikkim,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,PREPARATION AND ASSEMBLY FOR DACOITY,6,25,43,54,0,4,33,66,34,12,11,19,55,74,80,83
Tripura,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,2,0,1,2,3,0,2,0,0,1,3,1,0
Uttar Pradesh,PREPARATION AND ASSEMBLY FOR DACOITY,38,59,196,98,89,86,82,76,59,48,39,68,70,75,56,73
Uttarakhand,PREPARATION AND ASSEMBLY FOR DACOITY,3,6,3,1,0,2,6,2,7,2,1,3,7,1,3,5
West Bengal,PREPARATION AND ASSEMBLY FOR DACOITY,421,646,883,943,1221,1263,1150,1055,724,687,939,875,1099,1131,1424,1320
A&N Islands,PREPARATION AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,PREPARATION AND ASSEMBLY FOR DACOITY,0,1,1,2,2,3,0,4,3,6,2,9,1,2,1,0
