STATE/UT,CRIME HEAD,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mizoram,RAPE,17,7,29,11,49,52,27,0,2,9,0,0,35,60,18,11,42,40,73,57,91,30,99
Nagaland,RAPE,0,0,0,3,4,2,6,0,6,0,1,0,11,2,0,0,3,15,7,3,11,8,21
Odisha,RAPE,80,101,83,122,122,128,119,17,21,55,31,28,101,92,65,87,74,165,192,509,753,1052,1258
Punjab,RAPE,42,31,106,75,91,115,96,38,52,54,54,51,58,135,106,210,144,166,295,490,476,462,410
Rajasthan,RAPE,205,124,118,143,157,137,85,35,38,49,137,246,311,406,420,371,369,394,572,892,825,728,858
Sikkim,RAPE,4,3,4,4,2,2,2,4,4,8,1,14,14,17,12,14,14,11,21,25,40,1,66
Tamil Nadu,RAPE,32,56,107,108,91,88,80,20,29,47,166,115,125,141,187,182,203,271,292,419,0,0,1169
Tripura,RAPE,13,18,20,23,16,6,14,0,0,0,28,20,37,33,104,83,107,45,17,43,122,98,108
Uttar Pradesh,RAPE,538,484,535,472,516,344,309,562,416,301,394,394,347,471,900,625,451,1088,1040,1381,1538,594,2115
Uttarakhand,RAPE,0,0,0,0,0,0,0,9,8,11,17,18,23,17,9,7,10,23,34,32,84,52,91
West Bengal,RAPE,359,360,251,273,214,84,127,12,16,16,19,6,20,92,129,109,73,252,285,377,0,0,718
A&N Islands,RAPE,1,1,4,6,2,4,2,0,1,2,8,2,5,3,8,12,15,9,10,21,20,26,1
Chandigarh,RAPE,3,2,1,3,4,5,11,8,6,9,13,21,8,8,10,21,16,15,17,19,32,41,41
D&N Haveli,RAPE,1,0,0,1,2,1,0,0,0,0,0,0,3,3,3,2,3,1,1,4,2,2,9
Daman & Diu,RAPE,0,1,0,0,0,3,0,0,0,4,1,1,1,0,0,1,1,0,4,4,1,0,8
Delhi UT,RAPE,200,134,269,295,239,223,239,113,138,140,186,235,448,398,301,307,304,339,415,757,1004,927,813
Lakshadweep,RAPE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Puducherry,RAPE,3,1,2,2,0,1,3,4,4,1,4,3,8,3,4,1,3,6,7,9,3,0,29
INDIA,RAPE,3978,4067,4083,4414,4059,3153,3132,2113,2532,2949,3542,4026,4721,5045,5446,5368,5484,7112,8541,12363,13766,10854,19765
Andhra Pradesh,KIDNAPPING & ABDUCTION,46,59,38,15,22,26,51,57,86,373,396,332,498,609,433,632,581,735,781,1014,1234,1105,1253
Arunachal Pradesh,KIDNAPPING & ABDUCTION,0,1,0,1,0,3,5,0,3,9,8,12,27,3,13,17,5,15,20,40,66,120,56
Assam,KIDNAPPING & ABDUCTION,12,0,0,0,1,8,5,18,1,0,3,18,25,29,7,5,17,29,68,80,152,383,2970
Bihar,KIDNAPPING & ABDUCTION,77,61,89,97,102,66,47,26,26,33,29,72,25,421,496,722,1359,1821,2546,1180,1585,1231,3257
Chhattisgarh,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,46,45,45,70,110,113,103,96,121,186,283,276,1634,1844,1846,1989
Goa,KIDNAPPING & ABDUCTION,1,4,1,2,4,3,0,6,4,9,9,11,10,7,24,21,14,17,15,90,134,102,88
Gujarat,KIDNAPPING & ABDUCTION,98,97,104,125,124,106,76,120,273,267,300,285,360,436,521,503,565,605,834,1429,2101,1589,1749
Haryana,KIDNAPPING & ABDUCTION,26,15,5,18,57,92,66,124,54,92,42,101,158,107,104,149,123,144,535,911,816,1255,1282
Himachal Pradesh,KIDNAPPING & ABDUCTION,22,8,4,6,4,2,2,20,24,23,26,37,52,61,78,72,86,108,97,198,210,232,230
Jammu & Kashmir,KIDNAPPING & ABDUCTION,0,0,0,1,5,0,3,15,23,38,27,48,72,8,3,10,5,5,23,26,139,244,167
Jharkhand,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,4,21,3,18,11,11,7,18,8,6,18,32,48,94,110,247
Karnataka,KIDNAPPING & ABDUCTION,7,13,35,44,41,51,57,14,23,29,41,35,62,62,99,67,125,109,471,700,1177,1605,2144
Kerala,KIDNAPPING & ABDUCTION,7,9,12,7,7,5,19,28,65,23,74,45,73,73,87,83,111,129,147,136,130,171,157
Madhya Pradesh,KIDNAPPING & ABDUCTION,61,50,59,29,29,35,26,100,154,210,179,240,237,283,264,427,440,517,630,2262,6339,5265,6016
Maharashtra,KIDNAPPING & ABDUCTION,102,99,65,61,59,74,74,210,275,337,380,420,552,590,598,534,749,858,893,1698,2616,6960,7956
Manipur,KIDNAPPING & ABDUCTION,0,0,0,2,0,0,0,0,0,26,27,13,32,42,61,52,60,65,61,56,69,52,62
Meghalaya,KIDNAPPING & ABDUCTION,0,1,1,0,0,0,2,0,4,8,9,11,13,9,21,9,16,16,9,35,43,48,76
Mizoram,KIDNAPPING & ABDUCTION,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,3,1,2,2,9,5
Nagaland,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,7,0,5,4,7,40,47
Odisha,KIDNAPPING & ABDUCTION,30,10,13,26,28,17,13,22,8,25,11,16,17,36,8,30,51,85,96,366,800,986,1154
Punjab,KIDNAPPING & ABDUCTION,8,3,4,6,9,12,5,35,62,67,53,59,169,296,184,355,373,349,459,690,871,937,1031
Rajasthan,KIDNAPPING & ABDUCTION,3,14,6,2,1,8,11,62,52,46,128,132,392,589,504,761,706,785,847,1426,1814,1690,1891
Sikkim,KIDNAPPING & ABDUCTION,0,0,0,2,0,0,0,0,0,0,2,2,6,5,3,6,5,7,6,14,17,2,11
Tamil Nadu,KIDNAPPING & ABDUCTION,7,2,0,7,12,4,0,7,29,37,93,69,118,197,275,300,459,519,576,499,390,398,373
Tripura,KIDNAPPING & ABDUCTION,2,0,0,0,0,0,0,0,0,0,14,6,0,11,23,12,22,28,0,21,88,92,100
Uttar Pradesh,KIDNAPPING & ABDUCTION,170,104,47,53,20,18,14,1185,539,561,735,749,734,1041,2224,1535,1225,3739,4239,6002,1569,5913,9657
Uttarakhand,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,16,3,2,2,41,5,46,24,10,9,39,53,181,275,444,436
West Bengal,KIDNAPPING & ABDUCTION,53,126,78,92,65,87,74,86,94,32,99,102,156,88,196,199,332,660,767,1388,2351,1951,4178
A&N Islands,KIDNAPPING & ABDUCTION,0,0,0,0,1,0,0,0,1,1,3,2,4,7,12,10,9,11,8,12,12,28,25
Chandigarh,KIDNAPPING & ABDUCTION,2,0,0,2,0,17,15,32,22,14,36,23,43,30,36,27,23,40,59,164,130,164,145
D&N Haveli,KIDNAPPING & ABDUCTION,3,0,0,0,0,0,0,0,0,1,7,4,10,6,11,8,10,8,6,10,8,14,10
Daman & Diu,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,2,2,8,4,21,20
Delhi UT,KIDNAPPING & ABDUCTION,123,46,8,21,104,156,145,612,426,255,371,507,1114,1161,1208,2248,2982,3528,3686,5809,6452,6881,5935
Lakshadweep,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,KIDNAPPING & ABDUCTION,4,4,1,1,4,1,1,0,4,1,4,3,13,12,14,11,8,7,18,34,9,5,6
INDIA,KIDNAPPING & ABDUCTION,864,726,571,620,699,791,711,2845,2322,2571,3196,3518,5102,6377,7650,8945,10670,15284,18266,28167,37854,41893,54723
Andhra Pradesh,FOETICIDE,1,0,0,0,0,3,8,0,0,0,0,1,5,0,2,6,1,7,1,7,0,2,1
Arunachal Pradesh,FOETICIDE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Bihar,FOETICIDE,0,2,5,4,2,4,1,0,1,0,1,0,0,0,0,5,0,1,1,1,0,0,0
Chhattisgarh,FOETICIDE,0,0,0,0,0,0,0,5,0,6,6,21,5,10,9,7,9,21,5,15,5,11,18
Goa,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,FOETICIDE,6,8,6,0,1,7,0,4,9,4,0,4,6,1,1,3,10,0,7,2,0,1,0
Haryana,FOETICIDE,0,0,2,3,12,9,13,3,6,2,15,8,9,4,5,3,2,5,28,21,6,14,4
Himachal Pradesh,FOETICIDE,0,0,0,1,1,1,0,0,6,0,2,1,5,1,2,1,0,0,0,2,4,1,0
Jammu & Kashmir,FOETICIDE,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Jharkhand,FOETICIDE,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,4,1,1,0
Karnataka,FOETICIDE,0,1,0,0,0,0,1,1,7,0,4,7,13,7,5,7,4,1,3,0,0,1,2
Kerala,FOETICIDE,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Madhya Pradesh,FOETICIDE,17,14,13,21,12,17,14,7,4,11,9,12,14,10,8,39,18,38,64,79,30,17,19
Maharashtra,FOETICIDE,17,8,12,19,25,13,41,17,10,5,15,4,10,1,2,17,5,12,22,17,7,11,7
Manipur,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,FOETICIDE,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0
Punjab,FOETICIDE,0,0,1,0,2,3,0,7,10,11,8,12,22,35,24,23,15,15,25,12,10,10,4
Rajasthan,FOETICIDE,4,3,0,3,4,3,9,8,6,12,17,10,25,16,10,12,18,13,37,34,24,13,21
Sikkim,FOETICIDE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
Tamil Nadu,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tripura,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,FOETICIDE,0,0,0,0,0,0,0,1,1,3,2,0,2,1,2,0,18,12,11,17,0,12,52
Uttarakhand,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4
West Bengal,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0
A&N Islands,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0
Chandigarh,FOETICIDE,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
D&N Haveli,FOETICIDE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,FOETICIDE,0,1,0,3,2,0,2,2,20,2,4,3,7,4,2,0,7,5,2,3,5,3,8
Lakshadweep,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,FOETICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,FOETICIDE,45,38,39,57,62,61,91,55,84,57,86,86,125,96,73,123,111,132,210,221,107,97,144
Andhra Pradesh,ABETMENT OF SUICIDE,0,0,1,0,7,7,10,7,13,3,2,4,11,6,7,13,9,11,21,14,10,1,4
Arunachal Pradesh,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Assam,ABETMENT OF SUICIDE,0,0,0,0,0,0,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Bihar,ABETMENT OF SUICIDE,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,1,1,4,6,8,1,3,3,4,1,5,10,95,1,8,1
Goa,ABETMENT OF SUICIDE,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,0,0
Gujarat,ABETMENT OF SUICIDE,1,2,0,1,1,2,0,0,1,0,1,1,1,0,0,0,10,1,1,0,0,0,2
Haryana,ABETMENT OF SUICIDE,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,4,3,6,3,0,0
Himachal Pradesh,ABETMENT OF SUICIDE,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,1,2,1,0
Jammu & Kashmir,ABETMENT OF SUICIDE,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Karnataka,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2
Kerala,ABETMENT OF SUICIDE,0,0,0,0,3,0,1,0,0,0,0,1,0,1,4,0,3,2,3,9,5,3,3
Madhya Pradesh,ABETMENT OF SUICIDE,3,4,7,5,6,4,0,8,1,9,5,7,12,5,6,8,7,12,19,16,6,8,12
Maharashtra,ABETMENT OF SUICIDE,1,2,0,4,3,3,2,4,6,5,8,11,7,8,3,13,16,12,13,26,19,13,10
Manipur,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
Punjab,ABETMENT OF SUICIDE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,2,0,2,0,0,2,0
Rajasthan,ABETMENT OF SUICIDE,2,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,2,0,6,1,1,1,1
Sikkim,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,ABETMENT OF SUICIDE,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,2,1,2,1,1,0
Tripura,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,ABETMENT OF SUICIDE,0,0,2,1,0,0,0,0,0,2,4,2,3,0,0,0,0,5,57,36,1,8,0
Uttarakhand,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
West Bengal,ABETMENT OF SUICIDE,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,7,5,3,4,5
A&N Islands,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,ABETMENT OF SUICIDE,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D&N Haveli,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,ABETMENT OF SUICIDE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Delhi UT,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0
Lakshadweep,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,ABETMENT OF SUICIDE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
INDIA,ABETMENT OF SUICIDE,7,9,11,13,28,24,18,26,24,25,33,43,45,26,29,46,56,61,144,215,56,51,41
Andhra Pradesh,EXPOSURE & ABANDONMENT,0,1,0,0,4,16,22,22,5,36,26,99,89,35,49,77,55,53,49,43,69,55,21
Arunachal Pradesh,EXPOSURE & ABANDONMENT,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,EXPOSURE & ABANDONMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,EXPOSURE & ABANDONMENT,0,0,2,1,0,4,3,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
Chhattisgarh,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,15,17,3,14,6,14,7,3,3,6,7,9,7,5,21,27
Goa,EXPOSURE & ABANDONMENT,1,1,0,6,3,4,2,3,5,5,1,2,8,6,2,6,4,4,4,2,3,6,2
Gujarat,EXPOSURE & ABANDONMENT,43,86,92,101,95,73,88,112,76,82,95,141,150,149,156,129,121,105,79,113,87,60,64
Haryana,EXPOSURE & ABANDONMENT,4,0,7,6,14,9,16,16,15,24,15,32,24,12,13,20,24,15,15,8,36,27,41
Himachal Pradesh,EXPOSURE & ABANDONMENT,7,5,4,8,8,13,10,15,8,11,13,12,12,6,5,5,4,8,3,7,8,9,8
Jammu & Kashmir,EXPOSURE & ABANDONMENT,0,1,1,3,1,3,3,4,4,2,1,0,1,1,1,0,0,1,1,3,10,16,16
Jharkhand,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Karnataka,EXPOSURE & ABANDONMENT,5,2,7,4,11,23,9,7,10,11,17,18,31,25,31,21,30,21,41,58,101,100,98
Kerala,EXPOSURE & ABANDONMENT,1,4,4,1,2,7,5,9,9,1,0,3,4,6,6,7,9,4,4,4,5,4,5
Madhya Pradesh,EXPOSURE & ABANDONMENT,97,106,93,115,95,104,132,69,91,90,115,95,105,141,99,103,93,89,134,124,148,145,147
Maharashtra,EXPOSURE & ABANDONMENT,287,313,288,279,288,249,265,281,282,293,249,321,255,297,274,274,198,189,199,259,225,219,194
Manipur,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Meghalaya,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
Mizoram,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nagaland,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,EXPOSURE & ABANDONMENT,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Punjab,EXPOSURE & ABANDONMENT,0,5,6,4,1,3,4,3,0,9,12,13,15,9,8,15,11,22,15,8,35,41,24
Rajasthan,EXPOSURE & ABANDONMENT,14,17,28,37,34,54,57,54,79,97,90,123,137,146,158,153,119,98,172,226,213,141,118
Sikkim,EXPOSURE & ABANDONMENT,0,0,1,0,0,0,0,0,0,0,0,5,1,4,0,3,0,0,0,0,0,0,0
Tamil Nadu,EXPOSURE & ABANDONMENT,1,0,0,0,3,0,0,1,5,7,20,6,12,28,19,0,0,2,4,2,1,2,2
Tripura,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,EXPOSURE & ABANDONMENT,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,5
Uttarakhand,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
West Bengal,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,8,1,0,0,0
A&N Islands,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,2,0,2,0
Chandigarh,EXPOSURE & ABANDONMENT,1,4,4,2,4,5,7,5,8,11,11,7,11,12,11,9,6,7,10,2,3,6,2
D&N Haveli,EXPOSURE & ABANDONMENT,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
