STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ASSAM,NAGAON,2001,51,109,1,113,4,132,0
ASSAM,NALBARI,2001,30,27,3,16,0,15,0
ASSAM,R.P.O.,2001,3,0,0,0,0,0,0
ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0
ASSAM,SONITPUR,2001,53,80,1,43,0,99,0
ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0
ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0
BIHAR,ARARIA,2001,93,13,11,3,0,50,0
BIHAR,ARWAL,2001,0,0,7,11,0,14,0
BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0
BIHAR,BAGAHA,2001,25,6,0,4,0,2,0
BIHAR,BANKA,2001,34,10,9,0,0,16,0
BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0
BIHAR,BETTIAH,2001,20,23,17,23,0,54,8
BIHAR,BHABHUA,2001,10,12,8,7,0,22,0
BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0
BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0
BIHAR,BUXAR,2001,8,1,15,0,0,0,0
BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0
BIHAR,GAYA,2001,25,15,26,27,0,24,0
BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0
BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0
BIHAR,JAMUI,2001,10,1,16,8,0,15,0
BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0
BIHAR,KATIHAR,2001,51,20,6,6,0,29,0
BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0
BIHAR,KHAGARIA,2001,5,6,11,6,0,2,0
BIHAR,KISHANGANJ,2001,22,16,4,2,1,39,0
BIHAR,LAKHISARAI,2001,10,7,6,12,0,5,0
BIHAR,MADHEPURA,2001,11,15,6,3,0,10,0
BIHAR,MADHUBANI,2001,13,11,12,41,0,18,0
BIHAR,MOTIHARI,2001,44,35,37,3,1,47,0
BIHAR,MUNGER,2001,11,15,8,0,0,39,0
BIHAR,MUZAFFARPUR,2001,73,25,69,81,0,141,6
BIHAR,MUZAFFARPUR RLY.,2001,2,1,0,4,0,1,0
BIHAR,NALANDA,2001,40,12,47,14,2,54,0
BIHAR,NAUGACHIA,2001,7,9,4,0,0,5,0
BIHAR,NAWADAH,2001,15,1,17,7,0,13,1
BIHAR,PATNA,2001,27,11,90,47,0,152,39
BIHAR,PATNA RLY.,2001,1,1,0,9,0,0,0
BIHAR,PURNEA,2001,39,23,8,5,0,22,0
BIHAR,ROHTAS,2001,25,18,36,21,0,59,0
BIHAR,SAHARSA,2001,12,10,7,9,0,12,0
BIHAR,SAMASTIPUR,2001,19,29,11,17,9,35,29
BIHAR,SARAN,2001,20,15,67,22,0,101,0
BIHAR,SHEIKHPURA,2001,3,1,9,0,0,32,0
BIHAR,SHEOHAR,2001,11,7,3,0,0,2,0
BIHAR,SITAMARHI,2001,23,20,13,1,0,21,0
BIHAR,SIWAN,2001,4,26,32,6,0,10,0
BIHAR,SUPAUL,2001,30,2,7,8,0,18,0
BIHAR,VAISHALI,2001,20,28,59,52,0,179,0
BIHAR,TOTAL,2001,888,518,859,562,21,1558,83
CHHATTISGARH,BALRAMPUR,2001,17,1,1,18,0,7,0
CHHATTISGARH,BILASPUR,2001,69,20,7,180,10,94,0
CHHATTISGARH,BIZAPUR,2001,4,0,0,1,0,0,0
CHHATTISGARH,DANTEWARA,2001,19,8,1,18,1,3,0
CHHATTISGARH,DHAMTARI,2001,22,4,1,41,5,6,0
CHHATTISGARH,DURG,2001,144,42,12,287,38,231,0
CHHATTISGARH,GRP RAIPUR,2001,0,0,0,4,0,1,0
CHHATTISGARH,JAGDALPUR,2001,59,4,3,49,2,14,0
CHHATTISGARH,JANJGIR,2001,29,6,9,110,13,116,0
CHHATTISGARH,JASHPUR,2001,36,2,2,41,1,4,0
CHHATTISGARH,KANKER,2001,42,4,1,36,3,10,0
CHHATTISGARH,KAWARDHA,2001,35,0,1,45,4,15,0
CHHATTISGARH,KORBA,2001,46,13,1,90,7,31,0
CHHATTISGARH,KORIYA,2001,34,7,3,102,2,31,0
CHHATTISGARH,MAHASAMUND,2001,43,7,6,69,6,21,0
CHHATTISGARH,RAIGARH,2001,53,6,2,104,5,22,0
CHHATTISGARH,RAIPUR,2001,104,28,16,253,42,121,0
CHHATTISGARH,RAJNANDGAON,2001,58,3,3,92,12,51,0
CHHATTISGARH,SARGUJA,2001,145,16,1,223,10,62,0
CHHATTISGARH,TOTAL,2001,959,171,70,1763,161,840,0
GOA,NORTH GOA,2001,4,1,2,12,2,6,0
GOA,SOUTH GOA,2001,8,5,0,5,5,5,0
GOA,TOTAL,2001,12,6,2,17,7,11,0
GUJARAT,AHMEDABAD COMMR.,2001,39,117,7,54,27,530,0
GUJARAT,AHMEDABAD RURAL,2001,5,27,0,26,0,84,0
GUJARAT,AHWA-DANG,2001,1,1,0,2,0,2,0
GUJARAT,AMRELI,2001,2,34,2,21,0,94,0
GUJARAT,ANAND,2001,3,28,0,27,3,210,0
GUJARAT,BHARUCH,2001,4,34,0,19,0,56,0
GUJARAT,BHAVNAGAR,2001,9,51,2,36,7,129,0
GUJARAT,DAHOD,2001,5,15,0,17,0,11,0
GUJARAT,GANDHINAGAR,2001,4,12,3,37,7,116,0
GUJARAT,HIMATNAGAR,2001,17,29,4,51,0,165,0
GUJARAT,JAMNAGAR,2001,20,22,2,18,2,163,0
GUJARAT,JUNAGADH,2001,14,39,11,44,8,384,0
GUJARAT,KHEDA NORTH,2001,11,30,0,43,0,122,0
GUJARAT,KUTCH,2001,2,22,2,25,1,176,0
GUJARAT,MEHSANA,2001,4,49,5,47,1,188,0
GUJARAT,NARMADA,2001,8,8,0,7,1,9,0
GUJARAT,NAVSARI,2001,2,5,0,6,0,17,0
GUJARAT,PALANPUR,2001,18,35,2,50,2,152,0
GUJARAT,PANCHMAHAL,2001,5,46,0,1,23,43,0
GUJARAT,PATAN,2001,3,21,0,23,0,78,0
GUJARAT,PORBANDAR,2001,6,5,0,10,0,64,0
GUJARAT,RAJKOT COMMR.,2001,5,38,3,19,12,199,0
GUJARAT,RAJKOT RURAL,2001,20,35,2,45,3,206,0
GUJARAT,SURAT COMMR.,2001,11,37,20,10,1,132,0
GUJARAT,SURAT RURAL,2001,26,16,0,11,0,34,0
GUJARAT,SURENDRANAGAR,2001,11,24,2,45,3,75,0
GUJARAT,VADODARA COMMR.,2001,3,32,0,11,10,90,0
GUJARAT,VADODARA RURAL,2001,18,34,0,34,0,81,0
GUJARAT,VALSAD,2001,9,11,0,10,0,50,0
GUJARAT,W.RLY,2001,1,0,0,7,0,7,0
GUJARAT,TOTAL,2001,286,857,67,756,111,3667,0
HARYANA,AMBALA,2001,11,32,11,27,0,132,0
HARYANA,BHIWANI,2001,10,7,33,17,0,43,0
HARYANA,FARIDABAD,2001,37,53,19,47,242,108,0
HARYANA,FATEHABAD,2001,17,13,17,17,0,93,0
HARYANA,GRP,2001,0,2,5,1,26,0,0
HARYANA,GURGAON,2001,32,32,17,21,21,136,0
HARYANA,HISSAR,2001,10,18,24,33,0,117,0
HARYANA,JHAJJAR,2001,21,8,20,42,13,122,0
HARYANA,JIND,2001,21,8,11,22,29,67,0
HARYANA,KAITHAL,2001,16,8,9,19,0,105,0
HARYANA,KARNAL,2001,44,10,18,28,2,97,0
HARYANA,KURUKSHETRA,2001,31,14,10,28,8,68,0
HARYANA,MAHENDRAGARH,2001,11,8,8,19,0,23,0
HARYANA,PANCHKULA,2001,6,15,4,23,10,43,0
HARYANA,PANIPAT,2001,38,10,11,16,11,92,0
HARYANA,REWARI,2001,11,11,12,17,0,14,0
HARYANA,ROHTAK,2001,28,6,17,26,20,41,0
HARYANA,SIRSA,2001,17,7,12,23,0,98,0
HARYANA,SONIPAT,2001,15,12,18,22,14,51,0
HARYANA,YAMUNANAGAR,2001,22,23,9,30,5,63,0
HARYANA,TOTAL,2001,398,297,285,478,401,1513,0
HIMACHAL PRADESH,BILASPUR,2001,5,9,1,35,1,47,0
HIMACHAL PRADESH,CHAMBA,2001,12,15,0,23,1,21,0
HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2001,3,3,1,17,2,33,0
HIMACHAL PRADESH,KANGRA,2001,18,21,1,43,0,58,0
HIMACHAL PRADESH,KINNAUR,2001,6,3,0,4,0,2,0
HIMACHAL PRADESH,KULLU,2001,13,6,0,12,0,2,0
HIMACHAL PRADESH,LAHAUL-SPITI,2001,2,1,0,0,0,1,0
HIMACHAL PRADESH,MANDI,2001,16,10,0,59,4,56,0
HIMACHAL PRADESH,SHIMLA,2001,18,11,2,50,1,31,0
HIMACHAL PRADESH,SIRMAUR,2001,10,11,3,33,4,22,0
HIMACHAL PRADESH,SOLAN,2001,12,10,2,23,1,24,0
HIMACHAL PRADESH,UNA,2001,9,5,0,11,0,20,0
HIMACHAL PRADESH,TOTAL,2001,124,105,10,310,14,317,0
JAMMU & KASHMIR,ANANTNAG,2001,6,36,0,53,12,0,0
JAMMU & KASHMIR,AWANTIPORA,2001,1,13,0,8,2,0,0
JAMMU & KASHMIR,BARAMULLA,2001,28,59,0,93,14,0,0
JAMMU & KASHMIR,BORDER,2001,12,10,0,15,5,3,0
JAMMU & KASHMIR,BUDGAM,2001,7,34,0,35,9,0,0
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2001,7,15,0,6,2,1,0
JAMMU & KASHMIR,GANDERBAL,2001,5,31,0,30,4,0,0
JAMMU & KASHMIR,JAMMU,2001,13,43,5,40,94,26,0
JAMMU & KASHMIR,KARGIL,2001,0,1,0,1,0,0,0
JAMMU & KASHMIR,KATHUA,2001,13,10,3,14,4,1,0
JAMMU & KASHMIR,KULGAM,2001,6,31,0,7,11,0,0
JAMMU & KASHMIR,KUPWARA,2001,6,29,0,62,2,0,0
JAMMU & KASHMIR,LEH,2001,0,1,0,1,0,0,0
JAMMU & KASHMIR,POONCH,2001,13,10,0,4,6,2,0
JAMMU & KASHMIR,PULWAMA,2001,7,33,0,19,12,0,0
JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2001,17,20,3,7,6,6,0
JAMMU & KASHMIR,RAMBAN,2001,3,3,0,3,2,0,0
JAMMU & KASHMIR,REASI,2001,7,9,0,5,4,0,0
JAMMU & KASHMIR,SRINAGAR,2001,8,102,0,207,88,2,0
JAMMU & KASHMIR,UDHAMPUR,2001,10,14,2,12,11,9,0
JAMMU & KASHMIR,TOTAL,2001,169,504,13,622,288,50,0
JHARKHAND,BOKARO,2001,26,32,25,24,2,45,0
JHARKHAND,CHAIBASA,2001,32,10,0,6,0,0,0
JHARKHAND,CHATRA,2001,6,3,7,0,0,6,0
JHARKHAND,DEOGHAR,2001,22,0,10,13,1,10,0
JHARKHAND,DHANBAD,2001,32,45,30,47,0,18,0
JHARKHAND,DHANBAD RLY.,2001,2,0,0,0,0,0,0
JHARKHAND,DUMKA,2001,27,0,3,20,0,23,0
JHARKHAND,GARHWA,2001,11,2,15,0,0,5,0
JHARKHAND,GIRIDIH,2001,42,10,30,13,0,57,0
JHARKHAND,GODDA,2001,37,26,1,0,0,0,0
JHARKHAND,GUMLA,2001,29,11,0,2,0,10,1
JHARKHAND,HAZARIBAGH,2001,41,31,31,15,0,18,0
JHARKHAND,JAMSHEDPUR,2001,50,51,6,58,0,88,0
JHARKHAND,JAMSHEDPUR RLY.,2001,1,0,0,1,0,0,0
JHARKHAND,JAMTARA,2001,18,11,5,13,0,20,0
JHARKHAND,KODERMA,2001,2,2,11,8,1,29,0
JHARKHAND,LATEHAR,2001,12,2,6,0,0,0,0
JHARKHAND,LOHARDAGGA,2001,12,8,0,4,0,10,0
JHARKHAND,PAKUR,2001,23,0,7,0,0,18,0
JHARKHAND,PALAMU,2001,15,2,18,8,0,28,1
JHARKHAND,RANCHI,2001,73,1,4,24,1,78,0
JHARKHAND,SAHEBGANJ,2001,20,5,3,23,0,21,0
JHARKHAND,SARAIKELA,2001,17,15,4,18,0,0,0
JHARKHAND,SIMDEGA,2001,17,12,1,0,0,0,0
JHARKHAND,TOTAL,2001,567,279,217,297,5,484,2
KARNATAKA,BAGALKOT,2001,2,7,1,39,0,50,0
KARNATAKA,BANGALORE COMMR.,2001,40,56,40,223,51,229,0
KARNATAKA,BANGALORE RURAL,2001,13,10,30,90,0,123,0
KARNATAKA,BELGAUM,2001,8,12,4,62,0,125,0
KARNATAKA,BELLARY,2001,16,11,5,82,0,49,0
KARNATAKA,BIDAR,2001,7,10,2,90,3,51,0
KARNATAKA,BIJAPUR,2001,6,19,1,65,0,92,0
KARNATAKA,CHAMARAJNAGAR,2001,4,5,7,43,0,15,0
KARNATAKA,CHICKMAGALUR,2001,8,7,4,57,8,83,0
KARNATAKA,CHITRADURGA,2001,18,0,2,48,0,35,0
KARNATAKA,DAKSHIN KANNADA,2001,3,6,1,24,0,25,0
KARNATAKA,DAVANAGERE,2001,22,13,8,84,5,77,0
KARNATAKA,DHARWAD COMMR.,2001,4,4,2,3,0,24,0
KARNATAKA,DHARWAD RURAL,2001,3,2,3,8,0,8,0
KARNATAKA,GADAG,2001,2,2,3,10,0,18,0
KARNATAKA,GULBARGA,2001,20,21,6,143,1,104,0
KARNATAKA,HASSAN,2001,20,0,4,75,1,68,0
KARNATAKA,HAVERI,2001,3,11,5,42,0,32,0
KARNATAKA,K.G.F.,2001,1,7,4,12,0,20,0
KARNATAKA,KODAGU,2001,4,4,4,22,0,14,0
KARNATAKA,KOLAR,2001,17,18,18,42,0,39,0
KARNATAKA,KOPPAL,2001,6,12,5,40,1,23,0
KARNATAKA,MANDYA,2001,15,1,7,50,0,72,0
KARNATAKA,MYSORE COMMR.,2001,2,7,9,8,1,48,0
KARNATAKA,MYSORE RURAL,2001,12,4,6,79,2,51,0
KARNATAKA,RAICHUR,2001,12,5,1,63,4,52,0
KARNATAKA,RAILWAYS,2001,1,0,1,0,0,0,0
KARNATAKA,SHIMOGA,2001,12,10,6,65,0,134,0
KARNATAKA,TUMKUR,2001,6,4,28,53,0,44,0
KARNATAKA,UDUPI,2001,2,0,0,16,2,16,0
KARNATAKA,UTTAR KANNADA,2001,4,3,3,27,2,34,0
KARNATAKA,TOTAL,2001,293,271,220,1665,81,1755,0
KERALA,ALAPUZHA,2001,21,6,1,162,2,105,0
KERALA,CBCID,2001,2,0,0,0,0,4,0
KERALA,ERNAKULAM,2001,38,7,3,162,3,161,0
KERALA,IDUKKI,2001,34,0,0,145,16,127,0
KERALA,KANNUR,2001,42,7,0,77,7,157,0
KERALA,KASARGOD,2001,28,1,0,0,0,66,0
KERALA,KOLLAM,2001,55,9,3,235,0,315,0
KERALA,KOTTAYAM,2001,22,12,2,125,8,82,0
KERALA,KOZHIKODE,2001,39,10,2,118,8,319,0
KERALA,MALAPPURAM,2001,71,4,3,92,3,448,0
KERALA,PALAKKAD,2001,63,10,5,112,10,215,0
KERALA,PATHANAMTHITTA,2001,12,0,0,90,3,95,0
KERALA,RAILWAYS,2001,1,0,0,0,0,0,0
KERALA,THRISSUR,2001,42,9,2,223,16,198,0
KERALA,TRIVANDRUM,2001,57,21,6,345,2,210,0
KERALA,WAYANADU,2001,35,1,0,56,3,59,0
KERALA,TOTAL,2001,562,97,27,1942,81,2561,0
MADHYA PRADESH,BALAGHAT,2001,87,11,3,157,12,72,0
MADHYA PRADESH,BARWANI,2001,34,2,5,81,9,18,0
MADHYA PRADESH,BETUL,2001,95,16,7,135,4,71,0
MADHYA PRADESH,BHIND,2001,31,20,34,80,2,54,0
MADHYA PRADESH,BHOPAL,2001,106,48,15,252,56,132,0
MADHYA PRADESH,BHOPAL RLY.,2001,1,2,0,10,3,0,0
MADHYA PRADESH,CHHATARPUR,2001,65,23,20,193,10,46,0
MADHYA PRADESH,CHHINDWARA,2001,93,16,10,203,32,109,0
MADHYA PRADESH,DAMOH,2001,66,10,28,189,0,58,0
MADHYA PRADESH,DATIYA,2001,12,8,8,57,0,18,0
MADHYA PRADESH,DEWAS,2001,78,11,15,279,80,96,0
MADHYA PRADESH,DHAR,2001,68,18,41,168,21,88,0
MADHYA PRADESH,DINDORI,2001,20,2,0,53,6,4,0
MADHYA PRADESH,GUNA,2001,124,15,7,317,22,95,0
MADHYA PRADESH,GWALIOR,2001,59,22,20,139,8,49,0
MADHYA PRADESH,HARDA,2001,28,2,9,35,0,27,0
MADHYA PRADESH,HOSHANGABAD,2001,65,13,9,109,6,31,0
MADHYA PRADESH,INDORE,2001,84,35,25,215,63,161,0
MADHYA PRADESH,INDORE RLY.,2001,2,0,0,5,1,0,0
MADHYA PRADESH,JABALPUR,2001,108,20,28,264,50,81,0
MADHYA PRADESH,JABALPUR RLY.,2001,0,0,1,4,0,0,0
MADHYA PRADESH,JHABUA,2001,44,80,5,127,4,24,0
MADHYA PRADESH,KATNI,2001,25,3,11,106,12,59,0
MADHYA PRADESH,KHANDWA,2001,63,12,11,184,15,49,0
MADHYA PRADESH,KHARGON,2001,47,14,5,164,29,21,0
MADHYA PRADESH,MANDLA,2001,64,9,4,151,19,46,0
MADHYA PRADESH,MANDSAUR,2001,41,8,4,102,11,30,0
MADHYA PRADESH,MORENA,2001,35,18,29,77,2,34,0
MADHYA PRADESH,NARSINGHPUR,2001,70,4,22,156,16,40,0
MADHYA PRADESH,NEEMUCH,2001,37,7,1,83,18,62,0
MADHYA PRADESH,PANNA,2001,44,10,19,104,2,31,0
MADHYA PRADESH,RAISEN,2001,79,9,20,194,31,50,0
MADHYA PRADESH,RAJGARH,2001,95,9,7,196,26,49,0
MADHYA PRADESH,RATLAM,2001,70,13,4,125,28,53,0
MADHYA PRADESH,REWA,2001,31,18,18,105,2,56,0
MADHYA PRADESH,SAGAR,2001,141,16,29,509,0,142,0
MADHYA PRADESH,SATNA,2001,58,5,19,157,6,65,0
MADHYA PRADESH,SEONI,2001,52,2,10,106,23,25,0
MADHYA PRADESH,SHAHDOL,2001,63,13,9,216,3,87,0
MADHYA PRADESH,SHAJAPUR,2001,90,8,8,153,36,65,0
MADHYA PRADESH,SHEOPUR,2001,21,3,6,52,0,14,0
MADHYA PRADESH,SHIVPURI,2001,72,11,14,172,2,26,0
MADHYA PRADESH,SIDHI,2001,42,30,27,105,2,66,0
MADHYA PRADESH,SIHORE,2001,59,27,5,130,17,45,0
MADHYA PRADESH,TIKAMGARH,2001,86,4,15,177,2,27,0
MADHYA PRADESH,UJJAIN,2001,59,33,7,161,33,109,0
MADHYA PRADESH,UMARIYA,2001,25,2,2,61,5,21,0
MADHYA PRADESH,VIDISHA,2001,112,6,13,245,22,56,0
MADHYA PRADESH,TOTAL,2001,2851,668,609,7063,751,2562,0
MAHARASHTRA,AHMEDNAGAR,2001,44,25,0,74,2,496,0
MAHARASHTRA,AKOLA,2001,15,14,2,109,7,189,0
MAHARASHTRA,AMRAVATI COMMR.,2001,23,23,10,43,26,55,0
MAHARASHTRA,AMRAVATI RURAL,2001,42,25,4,99,38,92,0
MAHARASHTRA,AURANGABAD COMMR.,2001,14,14,4,33,12,102,0
MAHARASHTRA,AURANGABAD RURAL,2001,28,6,6,53,12,247,0
MAHARASHTRA,BEED,2001,22,15,2,78,15,177,0
MAHARASHTRA,BHANDARA,2001,39,1,5,71,37,60,0
MAHARASHTRA,BULDHANA,2001,22,18,35,118,21,223,0
MAHARASHTRA,CHANDRAPUR,2001,43,7,2,102,28,144,0
MAHARASHTRA,DHULE,2001,16,6,6,17,8,127,0
MAHARASHTRA,GADCHIROLI,2001,27,6,0,55,17,57,0
MAHARASHTRA,GONDIA,2001,23,17,4,85,22,80,0
MAHARASHTRA,HINGOLI,2001,20,8,2,44,4,134,0
MAHARASHTRA,JALGAON,2001,19,12,5,76,31,389,0
MAHARASHTRA,JALNA,2001,16,8,5,56,7,172,0
MAHARASHTRA,KOLHAPUR,2001,26,13,19,46,7,80,0
MAHARASHTRA,LATUR,2001,7,22,38,50,7,150,0
MAHARASHTRA,MUMBAI,2001,127,12,18,274,44,198,0
MAHARASHTRA,MUMBAI RLY.,2001,2,0,0,5,0,0,0
MAHARASHTRA,NAGPUR COMMR.,2001,39,51,7,75,56,218,0
MAHARASHTRA,NAGPUR RLY.,2001,2,0,2,4,0,0,0
MAHARASHTRA,NAGPUR RURAL,2001,81,16,3,131,294,141,0
MAHARASHTRA,NANDED,2001,23,36,21,85,22,202,0
MAHARASHTRA,NANDURBAR,2001,16,6,2,27,1,78,0
MAHARASHTRA,NASIK COMMR.,2001,9,9,3,19,2,99,0
MAHARASHTRA,NASIK RURAL,2001,39,10,7,74,37,339,0
MAHARASHTRA,NAVI MUMBAI,2001,17,7,5,23,5,57,0
MAHARASHTRA,OSMANABAD,2001,16,7,2,52,6,102,0
MAHARASHTRA,PARBHANI,2001,25,16,1,57,10,120,0
MAHARASHTRA,PUNE COMMR.,2001,56,28,2,54,105,147,1
MAHARASHTRA,PUNE RLY.,2001,0,0,0,3,0,0,0
MAHARASHTRA,PUNE RURAL,2001,42,17,5,64,11,165,0
MAHARASHTRA,RAIGAD,2001,20,1,1,29,7,55,0
MAHARASHTRA,RATNAGIRI,2001,10,4,0,32,19,62,0
MAHARASHTRA,SANGLI,2001,32,8,12,54,22,96,0
MAHARASHTRA,SATARA,2001,32,7,13,49,9,179,0
MAHARASHTRA,SINDHUDURG,2001,7,2,0,20,13,8,0
MAHARASHTRA,SOLAPUR COMMR.,2001,16,11,6,15,4,62,0
MAHARASHTRA,SOLAPUR RURAL,2001,35,14,6,40,12,90,0
MAHARASHTRA,THANE COMMR.,2001,39,37,6,69,43,212,0
MAHARASHTRA,THANE RURAL,2001,65,16,6,76,25,104,0
MAHARASHTRA,WARDHA,2001,35,12,9,98,35,89,0
MAHARASHTRA,WASHIM,2001,15,13,10,60,10,116,0
MAHARASHTRA,YAVATMAL,2001,56,31,12,125,27,177,0
MAHARASHTRA,TOTAL,2001,1302,611,308,2823,1120,6090,1
MANIPUR,BISHNUPUR,2001,1,3,0,0,0,1,0
MANIPUR,CHANDEL,2001,0,1,0,0,0,0,0
MANIPUR,CHURACHANDPUR,2001,1,0,0,0,0,0,0
MANIPUR,IMPHAL(EAST),2001,7,6,0,2,0,1,0
MANIPUR,IMPHAL(WEST),2001,7,37,0,17,0,3,0
MANIPUR,SENAPATI,2001,0,0,0,0,0,0,0
MANIPUR,TAMENGLONG,2001,0,0,0,0,0,0,0
MANIPUR,THOUBAL,2001,4,14,0,1,0,0,0
MANIPUR,UKHRUL,2001,0,1,0,1,0,0,0
MANIPUR,TOTAL,2001,20,62,0,21,0,5,0
